,angle,torque,diff
0,0.31,1.7,0.0
1,0.37,1.7,0.0
2,0.39,1.8,5.0
3,0.42,1.8,0.0
4,0.43,1.9,9.999999999999979
5,0.45,1.9,0.0
6,0.48,1.9,0.0
7,0.48,1.9,0.0
8,0.49,1.9,0.0
9,0.5,1.9,0.0
10,0.51,1.9,0.0
11,0.54,2.0,3.3333333333333335
12,0.54,1.9,-10.000000000000009
13,0.57,2.0,3.3333333333333455
14,0.59,2.0,0.0
15,0.6,2.0,0.0
16,0.6,2.0,0.0
17,0.61,2.0,0.0
18,0.62,2.0,0.0
19,0.62,2.1,10.000000000000009
20,0.64,2.1,0.0
21,0.65,2.1,0.0
22,0.66,2.1,0.0
23,0.67,2.1,0.0
24,0.7,2.2,3.3333333333333455
25,0.72,2.2,0.0
26,0.74,2.2,0.0
27,0.75,2.3,9.999999999999956
28,0.78,2.3,0.0
29,0.81,2.3,0.0
30,0.82,2.4,10.000000000000112
31,0.84,2.4,0.0
32,0.85,2.4,0.0
33,0.88,2.4,0.0
34,0.9,2.4,0.0
35,0.92,2.4,0.0
36,0.95,2.4,0.0
37,0.97,2.5,5.0
38,1.0,2.5,0.0
39,1.01,2.5,0.0
40,1.04,2.5,0.0
41,1.06,2.5,0.0
42,1.08,2.5,0.0
43,1.11,2.5,0.0
44,1.15,2.5,0.0
45,1.18,2.6,3.3333333333333335
46,1.2,2.6,0.0
47,1.24,2.6,0.0
48,1.27,2.6,0.0
49,1.31,2.7,2.5
50,1.33,2.7,0.0
51,1.38,2.7,0.0
52,1.41,2.7,0.0
53,1.46,2.7,0.0
54,1.48,2.7,0.0
55,1.53,2.7,0.0
56,1.59,2.7,0.0
57,1.66,2.7,0.0
58,1.68,2.8,4.999999999999978
59,1.7,2.8,0.0
60,1.75,2.8,0.0
61,1.78,2.8,0.0
62,1.81,2.8,0.0
63,1.85,2.8,0.0
64,1.86,2.8,0.0
65,1.89,2.8,0.0
66,1.91,2.8,0.0
67,1.94,2.8,0.0
68,1.99,2.9,2.0
69,2.03,2.9,0.0
70,2.06,2.9,0.0
71,2.08,2.9,0.0
72,2.09,2.9,0.0
73,2.12,3.0,3.3333333333333086
74,2.16,3.0,0.0
75,2.19,3.0,0.0
