,angle,torque,diff
0,0.53,2.2,0.10309278350515427
1,1.5,2.3,0.10309278350515427
2,2.11,2.4,0.16393442622950838
3,2.75,2.5,0.1562500000000001
4,3.37,2.6,0.16129032258064527
5,3.88,2.7,0.19607843137254927
6,4.3,2.8,0.23809523809523728
7,4.87,2.8,0.0
8,5.48,2.9,0.16393442622950827
9,5.76,3.0,0.35714285714285826
10,6.18,3.0,0.0
11,6.39,3.0,0.0
12,6.58,3.1,0.5263157894736836
13,6.85,3.1,0.0
14,7.15,3.1,0.0
15,7.48,3.2,0.30303030303030326
16,7.76,3.2,0.0
17,8.62,3.2,0.0
18,9.3,3.3,0.1470588235294109
19,9.77,3.3,0.0
20,10.23,3.3,0.0
21,10.68,3.4,0.22222222222222276
22,11.13,3.4,0.0
23,11.57,3.4,0.0
24,11.9,3.4,0.0
25,12.37,3.4,0.0
26,12.85,3.5,0.20833333333333334
27,13.75,3.5,0.0
28,14.31,3.5,0.0
29,14.89,3.5,0.0
30,15.33,3.5,0.0
31,16.13,3.6,0.12500000000000028
32,17.17,3.6,0.0
33,17.62,3.6,0.0
34,18.88,3.5,-0.07936507936507955
35,19.54,3.6,0.15151515151515163
36,20.16,3.6,0.0
37,20.61,3.6,0.0
38,21.16,3.6,0.0
39,22.29,3.6,0.0
40,22.83,3.6,0.0
41,23.19,3.6,0.0
42,23.65,3.6,0.0
43,24.08,3.7,0.23255813953488408
44,24.82,3.7,0.0
45,25.26,3.7,0.0
46,25.7,3.7,0.0
47,26.19,3.7,0.0
48,26.64,3.7,0.0
49,26.98,3.7,0.0
50,27.48,3.7,0.0
51,27.97,3.7,0.0
52,28.51,3.8,0.1851851851851836
53,29.05,3.8,0.0
54,29.61,3.8,0.0
55,30.02,3.8,0.0
56,30.75,3.8,0.0
57,31.76,3.8,0.0
58,32.15,3.8,0.0
59,32.99,3.8,0.0
60,33.93,3.8,0.0
61,34.43,3.8,0.0
62,35.13,3.8,0.0
63,35.98,3.7,-0.11764705882352978
64,37.28,3.8,0.0769230769230764
65,37.86,3.8,0.0
66,38.66,3.8,0.0
67,39.45,3.8,0.0
68,41.22,3.9,0.05649717514124312
69,42.08,3.9,0.0
70,42.76,3.9,0.0
71,44.48,4.0,0.05813953488372102
72,45.79,4.0,0.0
73,46.51,4.0,0.0
74,47.23,4.0,0.0
75,48.02,4.0,0.0
76,48.59,4.1,0.17543859649122737
77,50.1,4.1,0.0
78,50.79,4.1,0.0
79,51.34,4.1,0.0
80,52.03,4.1,0.0
81,52.69,4.1,0.0
82,53.37,4.2,0.1470588235294126
83,54.01,4.2,0.0
84,54.46,4.2,0.0
85,55.6,4.2,0.0
86,56.11,4.2,0.0
87,56.57,4.2,0.0
88,56.93,4.2,0.0
89,57.38,4.2,0.0
90,58.21,4.2,0.0
91,58.5,4.2,0.0
92,58.88,4.2,0.0
93,59.27,4.2,0.0
94,59.59,4.2,0.0
95,59.92,4.2,0.0
96,60.24,4.3,0.3124999999999986
97,60.49,4.3,0.0
98,60.81,4.3,0.0
99,61.35,4.3,0.0
100,61.56,4.3,0.0
101,62.14,4.4,0.1724137931034497
102,62.41,4.4,0.0
103,62.62,4.4,0.0
104,62.77,4.4,0.0
105,62.95,4.4,0.0
106,63.23,4.4,0.0
107,63.64,4.4,0.0
108,63.9,4.4,0.0
109,64.58,4.4,0.0
110,65.0,4.4,0.0
111,65.73,4.4,0.0
112,66.19,4.4,0.0
113,66.82,4.4,0.0
114,67.27,4.4,0.0
115,67.75,4.4,0.0
116,68.21,4.4,0.0
117,69.1,4.4,0.0
118,69.54,4.4,0.0
119,69.84,4.4,0.0
120,70.8,4.4,0.0
121,71.5,4.3,-0.14285714285714304
122,72.01,4.3,0.0
123,72.54,4.3,0.0
124,73.03,4.2,-0.20408163265306262
125,73.55,4.2,0.0
126,73.93,4.2,0.0
127,74.4,4.2,0.0
128,74.96,4.2,0.0
129,75.75,4.2,0.0
130,76.63,4.2,0.0
131,77.14,4.2,0.0
132,77.6,4.2,0.0
133,78.06,4.2,0.0
134,78.42,4.2,0.0
135,79.04,4.2,0.0
136,79.95,4.2,0.0
137,80.31,4.1,-0.2777777777777797
138,80.99,4.1,0.0
139,81.47,4.1,0.0
140,81.88,4.0,-0.2439024390243914
141,81.89,3.9,-9.999999999994893
