,angle,torque,diff
0,12.71,3.3,0.045045045045045105
1,14.93,3.4,0.045045045045045105
2,16.56,3.5,0.06134969325153383
3,18.23,3.7,0.11976047904191615
4,19.91,3.7,0.0
5,23.03,3.9,0.064102564102564
6,24.88,3.9,0.0
7,27.22,4.0,0.04273504273504278
8,30.07,4.1,0.03508771929824547
9,34.06,4.3,0.05012531328320804
10,36.0,4.3,0.0
11,37.46,4.3,0.0
12,39.45,4.3,0.0
13,42.04,4.3,0.0
14,45.15,4.4,0.03215434083601304
15,47.12,4.4,0.0
16,49.05,4.4,0.0
17,50.97,4.4,0.0
18,52.94,4.4,0.0
19,56.29,4.5,0.029850746268656598
20,58.66,4.5,0.0
21,61.42,4.5,0.0
22,63.19,4.5,0.0
23,64.88,4.5,0.0
24,66.5,4.5,0.0
25,67.66,4.5,0.0
26,69.19,4.5,0.0
27,70.84,4.5,0.0
28,72.69,4.5,0.0
29,74.2,4.5,0.0
30,76.32,4.5,0.0
31,80.27,4.5,0.0
32,82.71,4.5,0.0
33,85.32,4.5,0.0
34,87.98,4.5,0.0
35,90.66,4.6,0.037313432835820864
36,95.55,4.6,0.0
37,98.57,4.6,0.0
38,101.6,4.5,-0.033003300330032875
39,104.7,4.6,0.03225806451612883
40,109.8,4.5,-0.019607843137254853
41,115.9,4.5,0.0
42,121.0,4.6,0.019607843137254853
43,123.9,4.6,0.0
44,126.7,4.6,0.0
45,128.8,4.6,0.0
46,132.2,4.6,0.0
47,136.4,4.6,0.0
48,138.7,4.5,-0.04347826086956538
49,140.4,4.5,0.0
50,145.1,4.5,0.0
51,148.8,4.6,0.027027027027026806
52,150.9,4.5,-0.04761904761904758
53,153.1,4.5,0.0
54,155.4,4.5,0.0
55,157.1,4.5,0.0
56,159.4,4.6,0.04347826086956485
57,161.7,4.6,0.0
58,163.9,4.6,0.0
59,166.1,4.6,0.0
60,168.2,4.7,0.047619047619048005
61,172.0,4.7,0.0
62,174.4,4.6,-0.04166666666666679
63,175.5,4.6,0.0
64,176.9,4.6,0.0
65,178.3,4.6,0.0
66,179.3,4.6,0.0
67,181.0,4.6,0.0
68,183.8,4.6,0.0
69,186.9,4.6,0.0
70,190.7,4.5,-0.026315789473684237
71,193.1,4.5,0.0
72,195.7,4.5,0.0
73,197.6,4.5,0.0
74,200.3,4.6,0.037037037037036674
75,203.1,4.5,-0.0357142857142858
76,206.8,4.5,0.0
77,211.5,4.5,0.0
78,214.5,4.5,0.0
79,217.5,4.5,0.0
80,219.6,4.5,0.0
81,221.9,4.5,0.0
82,223.8,4.5,0.0
83,225.4,4.5,0.0
84,226.4,4.5,0.0
85,228.4,4.4,-0.04999999999999982
86,229.2,4.3,-0.12500000000000333
87,230.2,4.2,-0.09999999999999964
88,230.7,4.1,-0.20000000000000107
89,230.8,4.1,0.0
90,230.9,4.1,0.0
91,231.0,4.1,0.0
92,231.3,4.1,0.0
93,231.6,4.2,0.3333333333333541
94,232.6,4.1,-0.10000000000000053
95,233.4,4.1,0.0
96,234.6,4.1,0.0
97,235.7,4.1,0.0
98,237.5,4.2,0.055555555555555504
99,239.3,4.2,0.0
100,241.3,4.2,0.0
101,242.9,4.2,0.0
102,244.9,4.2,0.0
103,247.5,4.1,-0.03846153846153875
104,250.5,4.1,0.0
105,252.3,4.1,0.0
106,253.9,4.1,0.0
107,255.3,4.1,0.0
108,256.3,4.1,0.0
109,257.7,4.1,0.0
110,259.2,4.1,0.0
111,260.6,4.1,0.0
112,262.6,4.1,0.0
113,265.0,4.1,0.0
114,268.7,4.2,0.027027027027027254
115,270.0,4.2,0.0
116,271.4,4.2,0.0
117,272.6,4.1,-0.08333333333333062
118,273.6,4.1,0.0
119,274.1,4.0,-0.1999999999999993
120,274.2,4.0,0.0
