,angle,torque,diff
0,0.1,26.4,4.000000000000021
1,0.2,26.8,4.000000000000021
2,0.3,26.9,0.9999999999999789
3,0.5,27.1,1.0000000000000142
4,0.6,27.4,2.999999999999972
5,2.5,31.0,1.894736842105264
6,2.9,32.0,2.5000000000000004
7,3.2,32.8,2.666666666666655
8,3.4,33.9,5.500000000000014
9,3.6,34.5,3.0000000000000044
10,3.8,35.5,5.000000000000007
11,3.9,36.1,6.000000000000009
12,4.0,37.1,9.999999999999991
13,4.2,37.8,3.4999999999999756
14,4.4,38.5,3.500000000000011
15,4.6,38.8,1.4999999999999911
16,4.8,39.2,2.0000000000000266
17,5.0,39.4,0.9999999999999778
18,5.3,40.0,2.0000000000000058
19,5.5,40.4,1.9999999999999911
20,5.9,40.9,1.249999999999999
21,6.2,41.5,2.0000000000000058
22,6.4,42.5,4.999999999999996
23,6.7,43.6,3.6666666666666736
24,7.0,44.5,2.999999999999997
25,7.1,45.7,12.000000000000071
26,7.3,46.4,3.4999999999999756
27,7.5,47.5,5.500000000000002
28,7.6,48.9,14.000000000000036
29,7.7,50.1,11.999999999999964
30,7.8,50.5,4.0
31,7.9,50.9,3.9999999999999645
32,8.0,50.8,-1.0000000000000178
33,8.1,50.7,-0.9999999999999467
34,8.4,50.6,-0.33333333333333726
35,8.8,50.9,0.7499999999999922
36,9.2,51.5,1.5000000000000089
37,9.4,52.2,3.4999999999999956
38,9.7,53.6,4.6666666666666785
39,10.0,54.1,1.6666666666666627
40,10.1,55.4,13.000000000000018
41,10.2,56.3,9.000000000000018
42,10.3,57.3,9.999999999999858
43,10.4,58.6,13.000000000000089
44,10.5,60.1,15.000000000000053
45,10.6,60.1,0.0
46,10.7,60.1,0.0
47,11.0,60.1,0.0
48,11.2,60.2,0.5000000000000089
49,11.4,60.5,1.4999999999999778
50,11.7,61.2,2.3333333333333512
51,11.8,61.8,5.999999999999858
52,11.9,62.8,10.000000000000036
53,12.0,63.5,7.000000000000053
54,12.1,63.9,4.0
