,angle,torque,diff
0,0.32,1.4,0.0
1,0.34,1.4,0.0
2,0.39,1.4,0.0
3,0.41,1.4,0.0
4,0.48,1.5,1.4285714285714297
5,0.5,1.5,0.0
6,0.53,1.5,0.0
7,0.58,1.5,0.0
8,0.61,1.6,3.3333333333333335
9,0.66,1.6,0.0
10,0.7,1.7,2.5000000000000013
11,0.72,1.7,0.0
12,0.79,1.7,0.0
13,0.86,1.7,0.0
14,0.89,1.8,3.3333333333333335
15,0.97,1.8,0.0
16,0.99,1.8,0.0
17,1.01,1.8,0.0
18,1.05,1.9,2.4999999999999947
19,1.1,1.9,0.0
20,1.14,1.9,0.0
21,1.19,1.9,0.0
22,1.23,1.9,0.0
23,1.25,1.9,0.0
24,1.27,1.9,0.0
25,1.31,1.9,0.0
26,1.33,1.9,0.0
27,1.35,1.9,0.0
28,1.38,1.9,0.0
29,1.41,1.9,0.0
30,1.43,2.0,5.0
31,1.46,2.0,0.0
32,1.48,2.0,0.0
33,1.49,2.0,0.0
34,1.5,2.0,0.0
35,1.51,2.0,0.0
36,1.52,2.0,0.0
37,1.53,2.0,0.0
38,1.55,2.0,0.0
39,1.57,2.1,5.0
40,1.58,2.0,-10.0
41,1.59,2.1,10.0
42,1.59,2.1,0.0
43,1.6,2.1,0.0
44,1.61,2.1,0.0
45,1.62,2.1,0.0
46,1.63,2.1,0.0
47,1.64,2.1,0.0
48,1.64,2.1,0.0
49,1.66,2.1,0.0
50,1.67,2.1,0.0
51,1.69,2.1,0.0
52,1.69,2.1,0.0
53,1.72,2.1,0.0
54,1.73,2.1,0.0
55,1.76,2.1,0.0
56,1.77,2.1,0.0
57,1.79,2.1,0.0
58,1.8,2.1,0.0
59,1.83,2.1,0.0
60,1.86,2.1,0.0
61,1.89,2.1,0.0
62,1.92,2.1,0.0
63,1.93,2.1,0.0
64,1.95,2.1,0.0
65,1.97,2.1,0.0
66,1.98,2.1,0.0
67,1.99,2.1,0.0
68,2.0,2.1,0.0
69,2.01,2.1,0.0
70,2.03,2.1,0.0
71,2.05,2.1,0.0
72,2.06,2.1,0.0
73,2.08,2.1,0.0
74,2.1,2.2,5.0
75,2.11,2.2,0.0
76,2.13,2.2,0.0
77,2.16,2.2,0.0
78,2.17,2.2,0.0
79,2.19,2.2,0.0
80,2.21,2.2,0.0
81,2.24,2.2,0.0
82,2.29,2.2,0.0
83,2.31,2.2,0.0
84,2.36,2.2,0.0
85,2.4,2.2,0.0
86,2.42,2.2,0.0
87,2.47,2.2,0.0
88,2.53,2.2,0.0
89,2.55,2.2,0.0
90,2.59,2.2,0.0
91,2.61,2.2,0.0
92,2.65,2.2,0.0
93,2.72,2.2,0.0
94,2.74,2.2,0.0
95,2.78,2.2,0.0
96,2.8,2.2,0.0
97,2.84,2.2,0.0
98,2.86,2.2,0.0
99,2.91,2.3,1.9999999999999822
100,2.95,2.3,0.0
101,2.96,2.3,0.0
102,2.98,2.3,0.0
103,3.02,2.3,0.0
104,3.06,2.3,0.0
105,3.07,2.3,0.0
106,3.13,2.4,1.6666666666666667
107,3.18,2.4,0.0
108,3.2,2.4,0.0
109,3.27,2.4,0.0
110,3.32,2.4,0.0
111,3.34,2.3,-5.0
112,3.37,2.4,3.3333333333333086
113,3.42,2.3,-2.000000000000009
114,3.46,2.3,0.0
115,3.48,2.3,0.0
116,3.5,2.3,0.0
117,3.54,2.3,0.0
118,3.6,2.3,0.0
119,3.62,2.3,0.0
120,3.7,2.3,0.0
121,3.72,2.3,0.0
122,3.74,2.4,5.0
123,3.78,2.4,0.0
124,3.83,2.4,0.0
125,3.85,2.4,0.0
126,3.87,2.4,0.0
127,3.91,2.4,0.0
128,3.99,2.4,0.0
129,4.02,2.5,3.333333333333407
130,4.07,2.5,0.0
131,4.12,2.5,0.0
132,4.15,2.5,0.0
133,4.18,2.5,0.0
134,4.23,2.5,0.0
135,4.29,2.5,0.0
136,4.35,2.5,0.0
137,4.41,2.5,0.0
138,4.47,2.5,0.0
139,4.51,2.5,0.0
140,4.54,2.5,0.0
141,4.6,2.5,0.0
142,4.63,2.6,3.3333333333333086
143,4.69,2.6,0.0
144,4.71,2.6,0.0
145,4.76,2.6,0.0
146,4.78,2.6,0.0
147,4.82,2.6,0.0
148,4.88,2.6,0.0
149,4.9,2.6,0.0
150,4.93,2.6,0.0
151,4.95,2.7,4.999999999999889
152,4.99,2.7,0.0
153,5.01,2.7,0.0
154,5.05,2.6,-2.5
155,5.08,2.7,3.3333333333333086
156,5.14,2.7,0.0
157,5.17,2.7,0.0
158,5.21,2.7,0.0
159,5.23,2.7,0.0
160,5.26,2.7,0.0
161,5.27,2.7,0.0
162,5.3,2.7,0.0
163,5.32,2.7,0.0
164,5.35,2.7,0.0
165,5.38,2.7,0.0
166,5.41,2.7,0.0
167,5.43,2.7,0.0
168,5.44,2.8,9.99999999999929
169,5.45,2.8,0.0
170,5.46,2.8,0.0
171,5.48,2.8,0.0
172,5.48,2.8,0.0
173,5.49,2.9,10.000000000000222
174,5.5,2.9,0.0
175,5.5,2.9,0.0
176,5.49,2.9,-0.0
177,5.49,2.9,0.0
178,5.49,2.9,0.0
179,5.48,3.0,-10.000000000000222
180,5.47,3.0,-0.0
181,5.47,3.0,0.0
182,5.47,3.0,0.0
183,5.47,3.0,0.0
184,5.47,3.0,0.0
185,5.47,3.0,0.0
186,5.47,3.1,10.000000000000009
187,5.47,3.1,0.0
188,5.47,3.1,0.0
189,5.47,3.1,0.0
190,5.47,3.1,0.0
191,5.48,3.1,0.0
192,5.49,3.1,0.0
193,5.49,3.1,0.0
194,5.5,3.1,0.0
195,5.51,3.1,0.0
196,5.52,3.1,0.0
197,5.53,3.1,0.0
198,5.55,3.1,0.0
199,5.56,3.1,0.0
200,5.58,3.1,0.0
201,5.59,3.1,0.0
202,5.62,3.1,0.0
203,5.64,3.1,0.0
204,5.65,3.2,9.999999999999334
205,5.7,3.2,0.0
206,5.73,3.2,0.0
207,5.74,3.3,10.000000000000178
208,5.76,3.3,0.0
209,5.8,3.3,0.0
210,5.82,3.3,0.0
211,5.82,3.3,0.0
212,5.84,3.3,0.0
213,5.86,3.3,0.0
214,5.87,3.3,0.0
215,5.88,3.3,0.0
216,5.89,3.3,0.0
217,5.89,3.4,10.000000000000009
218,5.89,3.4,0.0
219,5.89,3.4,0.0
220,5.89,3.4,0.0
221,5.88,3.5,-10.000000000000222
222,5.87,3.5,-0.0
223,5.86,3.5,-0.0
224,5.86,3.5,0.0
225,5.86,3.5,0.0
226,5.86,3.5,0.0
227,5.85,3.6,-9.999999999999334
228,5.85,3.6,0.0
229,5.85,3.6,0.0
230,5.85,3.6,0.0
231,5.85,3.7,10.000000000000009
232,5.86,3.7,0.0
233,5.87,3.7,0.0
234,5.88,3.7,0.0
235,5.89,3.7,0.0
236,5.89,3.4,-30.000000000000025
237,5.89,3.2,-19.99999999999997
238,5.89,2.8,-40.000000000000036
239,5.88,2.1,70.00000000000146
240,5.88,1.8,-30.000000000000004
241,5.85,1.5,9.999999999999918
242,5.82,1.2,10.000000000000215
243,5.8,1.0,9.999999999999767
244,5.8,0.7,-30.000000000000004
245,5.8,0.4,-29.999999999999993
246,5.8,0.4,0.0
247,5.8,0.3,-10.000000000000004
248,5.8,0.2,-9.999999999999998
249,5.8,0.2,0.0
250,5.8,0.1,-10.0
251,5.8,0.1,0.0
252,5.8,0.1,0.0
253,5.8,0.1,0.0
254,5.8,0.0,-10.0
255,5.8,0.0,0.0
256,5.8,0.0,0.0
257,5.8,0.0,0.0
258,5.8,0.0,0.0
259,5.8,0.0,0.0
260,5.8,0.0,0.0
261,5.8,0.0,0.0
262,5.8,0.0,0.0
263,5.8,0.0,0.0
264,5.8,0.0,0.0
265,5.8,0.0,0.0
266,5.8,0.0,0.0
267,5.8,0.0,0.0
268,5.8,0.0,0.0
269,5.8,0.1,10.0
270,5.8,0.0,-10.0
271,5.8,0.0,0.0
272,5.8,0.0,0.0
273,5.8,0.0,0.0
274,5.8,0.0,0.0
275,5.8,0.0,0.0
276,5.8,0.0,0.0
277,5.8,0.0,0.0
278,5.8,0.0,0.0
279,5.8,0.0,0.0
280,5.8,0.0,0.0
281,5.8,0.0,0.0
282,5.8,0.0,0.0
283,5.8,0.0,0.0
284,5.8,0.0,0.0
285,5.8,0.0,0.0
286,5.8,0.0,0.0
287,5.8,0.0,0.0
288,5.8,0.0,0.0
289,5.8,0.0,0.0
290,5.8,0.0,0.0
291,5.8,0.0,0.0
292,5.8,0.0,0.0
293,5.8,0.0,0.0
294,5.8,0.1,10.0
295,5.8,0.0,-10.0
296,5.8,0.1,10.0
297,5.8,0.0,-10.0
298,5.8,0.0,0.0
299,5.8,0.0,0.0
300,5.8,0.0,0.0
301,5.8,0.0,0.0
302,5.8,0.0,0.0
303,5.8,0.0,0.0
304,5.8,0.0,0.0
305,5.8,0.0,0.0
306,5.8,0.0,0.0
307,5.8,0.0,0.0
308,5.8,0.0,0.0
309,5.8,0.0,0.0
310,5.8,0.0,0.0
311,5.8,0.0,0.0
312,5.8,0.0,0.0
313,5.8,0.0,0.0
314,5.8,0.0,0.0
315,5.8,0.0,0.0
316,5.8,0.0,0.0
317,5.8,0.0,0.0
318,5.8,0.0,0.0
319,5.8,0.0,0.0
320,5.8,0.0,0.0
321,5.8,0.0,0.0
322,5.8,0.0,0.0
323,5.8,0.0,0.0
324,5.8,0.0,0.0
325,5.8,0.0,0.0
326,5.8,0.0,0.0
327,5.8,0.0,0.0
328,5.8,0.0,0.0
329,5.8,0.0,0.0
330,5.8,0.0,0.0
331,5.8,0.0,0.0
332,5.8,0.0,0.0
333,5.8,0.0,0.0
334,5.8,0.0,0.0
335,5.8,0.0,0.0
336,5.8,0.0,0.0
337,5.8,0.0,0.0
338,5.8,0.0,0.0
339,5.8,0.0,0.0
340,5.8,0.0,0.0
341,5.8,0.0,0.0
