,angle,torque,diff
0,0.4,2.4,0.0
1,0.5,2.4,0.0
2,0.6,2.5,1.000000000000001
3,0.8,2.5,0.0
4,0.9,2.6,1.000000000000001
5,1.3,2.7,0.2500000000000002
6,1.5,2.8,0.49999999999999833
7,1.7,2.9,0.5000000000000006
8,1.9,2.9,0.0
9,2.0,3.1,2.0
10,2.3,3.1,0.0
11,2.4,3.1,0.0
12,2.7,3.2,0.3333333333333333
13,3.1,3.2,0.0
14,3.2,3.2,0.0
15,3.4,3.3,0.4999999999999989
16,3.5,3.3,0.0
17,3.8,3.3,0.0
18,4.0,3.3,0.0
19,4.1,3.3,0.0
20,4.2,3.3,0.0
21,4.3,3.4,1.0000000000000044
22,4.4,3.4,0.0
23,4.6,3.4,0.0
24,4.7,3.4,0.0
25,4.9,3.4,0.0
26,5.2,3.4,0.0
27,5.4,3.4,0.0
28,5.5,3.4,0.0
29,5.7,3.5,0.5
30,5.8,3.5,0.0
31,6.0,3.5,0.0
32,6.1,3.5,0.0
33,6.3,3.5,0.0
34,6.7,3.5,0.0
35,6.8,3.5,0.0
36,7.0,3.6,0.5
37,7.1,3.6,0.0
38,7.5,3.5,-0.25
39,7.8,3.6,0.3333333333333338
40,7.9,3.6,0.0
41,8.1,3.6,0.0
42,8.3,3.6,0.0
43,8.7,3.6,0.0
44,9.0,3.6,0.0
45,9.2,3.6,0.0
46,9.5,3.6,0.0
47,9.8,3.6,0.0
48,10.0,3.6,0.0
49,10.1,3.6,0.0
50,10.3,3.6,0.0
51,10.5,3.5,-0.5000000000000022
52,10.8,3.5,0.0
53,10.9,3.5,0.0
54,11.0,3.5,0.0
55,11.1,3.6,1.0000000000000044
56,11.2,3.6,0.0
57,11.4,3.6,0.0
58,11.5,3.6,0.0
59,11.6,3.6,0.0
60,11.7,3.6,0.0
61,11.9,3.6,0.0
62,12.1,3.6,0.0
63,12.2,3.6,0.0
64,12.3,3.6,0.0
65,12.4,3.6,0.0
66,12.6,3.5,-0.5000000000000022
67,12.7,3.5,0.0
68,12.8,3.5,0.0
69,13.0,3.4,-0.5000000000000022
70,13.2,3.4,0.0
71,13.3,3.5,0.9999999999999867
72,13.4,3.5,0.0
73,13.6,3.5,0.0
74,13.9,3.5,0.0
75,14.2,3.5,0.0
76,14.6,3.5,0.0
77,14.7,3.5,0.0
78,14.8,3.5,0.0
79,15.0,3.5,0.0
80,15.3,3.4,-0.3333333333333328
81,15.4,3.4,0.0
82,15.6,3.5,0.5000000000000022
83,15.9,3.5,0.0
84,16.0,3.4,-1.0000000000000044
85,16.1,3.4,0.0
86,16.3,3.5,0.5000000000000022
87,16.5,3.5,0.0
88,16.6,3.5,0.0
89,16.7,3.4,-1.0000000000000222
90,16.9,3.4,0.0
91,17.0,3.4,0.0
92,17.2,3.4,0.0
93,17.3,3.4,0.0
94,17.5,3.3,-0.5000000000000022
95,17.6,3.3,0.0
96,17.8,3.4,0.5000000000000022
97,17.9,3.4,0.0
98,18.1,3.4,0.0
99,18.2,3.4,0.0
100,18.4,3.4,0.0
101,18.6,3.4,0.0
102,18.7,3.4,0.0
103,18.8,3.4,0.0
104,19.0,3.4,0.0
105,19.1,3.4,0.0
106,19.3,3.3,-0.5000000000000022
107,19.5,3.3,0.0
108,19.6,3.3,0.0
109,19.7,3.3,0.0
110,19.8,3.3,0.0
111,20.0,3.3,0.0
112,20.2,3.3,0.0
113,20.3,3.3,0.0
114,20.5,3.3,0.0
115,20.7,3.3,0.0
116,20.9,3.3,0.0
117,21.0,3.4,0.9999999999999867
118,21.2,3.4,0.0
119,21.4,3.4,0.0
120,21.6,3.4,0.0
121,21.8,3.4,0.0
122,21.9,3.5,1.0000000000000222
123,22.1,3.5,0.0
124,22.3,3.5,0.0
125,22.5,3.5,0.0
126,22.6,3.4,-0.9999999999999867
127,22.8,3.4,0.0
128,22.9,3.4,0.0
