,angle,torque,diff
0,0.2,2.6,0.9999999999999987
1,0.4,2.8,0.9999999999999987
2,0.6,2.9,0.5000000000000006
3,0.7,3.1,2.000000000000002
4,1.1,3.3,0.49999999999999917
5,1.2,3.3,0.0
6,1.3,3.4,1.0
7,1.4,3.4,0.0
8,1.5,3.4,0.0
9,1.6,3.5,1.0
10,1.7,3.5,0.0
11,1.8,3.5,0.0
12,2.0,3.6,0.5000000000000006
13,2.1,3.6,0.0
14,2.2,3.7,1.0
15,2.3,3.7,0.0
16,2.4,3.7,0.0
17,2.5,3.7,0.0
18,2.7,3.7,0.0
19,2.8,3.8,1.0
20,2.9,3.8,0.0
21,3.1,3.9,0.5
22,3.2,4.0,1.0
23,3.3,4.0,0.0
24,3.5,4.1,0.4999999999999978
25,3.6,4.1,0.0
26,3.7,4.1,0.0
27,3.8,4.2,1.0000000000000089
28,4.0,4.3,0.4999999999999978
29,4.1,4.3,0.0
30,4.2,4.3,0.0
31,4.3,4.3,0.0
32,4.4,4.3,0.0
33,4.5,4.3,0.0
34,4.6,4.3,0.0
35,4.7,4.3,0.0
36,4.8,4.3,0.0
37,5.0,4.3,0.0
38,5.1,4.3,0.0
39,5.2,4.4,1.0
40,5.4,4.4,0.0
41,5.5,4.4,0.0
42,5.6,4.4,0.0
43,5.7,4.4,0.0
44,5.8,4.5,1.0
45,5.9,4.4,-0.9999999999999911
46,6.0,4.4,0.0
47,6.1,4.5,1.0
48,6.2,4.5,0.0
49,6.3,4.5,0.0
50,6.5,4.6,0.4999999999999978
51,6.7,4.6,0.0
52,6.8,4.6,0.0
53,6.9,4.6,0.0
54,7.0,4.6,0.0
55,7.2,4.6,0.0
56,7.3,4.6,0.0
57,7.4,4.6,0.0
58,7.6,4.6,0.0
59,7.7,4.6,0.0
60,7.8,4.7,1.0000000000000089
61,7.9,4.7,0.0
62,8.1,4.7,0.0
63,8.2,4.7,0.0
64,8.4,4.7,0.0
65,8.5,4.7,0.0
66,8.6,4.7,0.0
67,8.8,4.7,0.0
68,9.0,4.7,0.0
69,9.3,4.7,0.0
70,9.5,4.7,0.0
71,9.7,4.7,0.0
72,9.8,4.7,0.0
73,9.9,4.7,0.0
74,10.0,4.7,0.0
75,10.1,4.7,0.0
76,10.3,4.7,0.0
77,10.4,4.7,0.0
78,10.5,4.7,0.0
79,10.7,4.8,0.5
80,10.8,4.8,0.0
81,10.9,4.8,0.0
82,11.0,4.8,0.0
83,11.1,4.8,0.0
84,11.2,4.8,0.0
85,11.3,4.8,0.0
86,11.4,4.8,0.0
87,11.5,4.8,0.0
88,11.6,4.8,0.0
89,11.7,4.8,0.0
90,11.8,4.8,0.0
91,11.9,4.8,0.0
92,12.0,4.8,0.0
93,12.3,4.9,0.3333333333333343
94,12.4,4.9,0.0
95,12.5,4.9,0.0
96,12.7,4.9,0.0
97,12.8,4.9,0.0
98,13.0,5.0,0.5
99,13.2,5.0,0.0
100,13.3,5.0,0.0
101,13.4,5.0,0.0
102,13.5,5.0,0.0
103,13.6,4.9,-1.0
104,13.7,4.9,0.0
105,13.8,4.7,-1.9999999999999734
106,13.9,4.6,-1.0000000000000089
107,14.0,4.5,-1.0
108,14.1,4.3,-2.000000000000009
