,angle,torque
0,10.35,10.8
1,10.36,11.0
2,10.37,11.1
3,10.38,11.3
4,10.39,11.5
5,10.39,11.6
6,10.39,11.6
7,10.39,11.7
8,10.4,11.9
9,10.41,12.2
10,10.42,12.4
11,10.44,12.8
12,10.46,13.3
13,10.47,13.5
14,10.48,13.9
15,10.49,14.1
16,10.49,14.2
17,10.49,14.3
18,10.49,14.4
19,10.5,14.6
20,10.51,14.9
21,10.53,15.4
22,10.54,15.6
23,10.55,15.8
24,10.56,16.0
25,10.56,16.1
26,10.56,16.1
27,10.56,16.1
28,10.56,16.1
29,10.57,16.2
30,10.57,16.3
31,10.57,16.5
32,10.58,16.6
33,10.58,16.8
34,10.59,17.0
35,10.6,17.2
36,10.61,17.4
37,10.61,17.6
38,10.62,17.7
39,10.62,17.6
40,10.62,17.4
41,10.62,17.2
42,10.62,17.1
43,10.62,17.1
44,10.62,17.0
45,10.62,16.9
46,10.62,16.8
47,10.62,16.8
48,10.62,16.9
49,10.62,16.9
50,10.62,16.9
51,10.62,16.9
52,10.62,16.9
53,10.62,16.9
54,10.62,17.0
55,10.63,17.2
56,10.63,17.4
57,10.63,17.5
58,10.63,17.4
59,10.63,17.4
60,10.63,17.5
61,10.63,17.6
62,10.63,17.8
63,10.63,18.0
64,10.63,18.1
65,10.63,18.1
66,10.63,18.1
67,10.63,18.0
68,10.63,17.8
69,10.63,17.7
70,10.63,17.8
71,10.63,17.9
72,10.63,17.9
73,10.63,17.9
74,10.63,17.9
75,10.63,17.9
76,10.64,18.1
77,10.64,18.2
78,10.64,18.4
79,10.64,18.5
80,10.64,18.6
81,10.64,18.6
82,10.64,18.5
83,10.64,18.6
84,10.64,18.8
85,10.65,19.1
86,10.66,19.3
87,10.66,19.5
88,10.67,19.6
89,10.67,19.7
90,10.67,19.8
91,10.67,19.9
92,10.67,20.0
93,10.67,20.1
94,10.67,20.2
95,10.67,20.3
96,10.67,20.4
97,10.67,20.5
98,10.67,20.6
99,10.67,20.7
100,10.67,20.8
101,10.68,20.8
102,10.68,20.9
103,10.68,21.0
104,10.68,21.1
105,10.68,21.1
106,10.68,21.2
107,10.68,21.2
108,10.68,21.2
109,10.68,21.4
110,10.68,21.6
111,10.68,21.6
112,10.68,21.5
113,10.68,21.5
114,10.68,21.6
115,10.68,21.7
116,10.68,21.9
117,10.69,22.1
118,10.69,22.2
119,10.69,22.3
120,10.69,22.4
121,10.69,22.4
122,10.69,22.5
123,10.69,22.6
124,10.69,22.7
125,10.69,22.8
126,10.69,22.8
127,10.69,22.8
128,10.7,22.9
129,10.7,23.1
130,10.7,23.3
131,10.71,23.5
132,10.71,23.6
133,10.71,23.7
134,10.72,23.8
135,10.72,23.9
136,10.72,23.9
137,10.72,23.9
138,10.72,24.0
139,10.72,24.1
140,10.72,24.1
141,10.72,24.1
142,10.72,24.1
143,10.72,24.1
144,10.72,24.1
145,10.72,24.2
146,10.72,24.2
147,10.72,24.3
148,10.72,24.3
149,10.72,24.3
150,10.72,24.3
151,10.72,24.3
152,10.72,24.4
153,10.72,24.5
154,10.73,24.6
155,10.73,24.6
156,10.73,24.6
157,10.73,24.6
158,10.73,24.7
159,10.73,24.8
160,10.73,24.9
161,10.73,25.0
162,10.73,25.0
163,10.74,25.2
164,10.74,25.3
165,10.74,25.5
166,10.74,25.7
167,10.75,25.8
168,10.75,25.9
169,10.75,26.0
170,10.75,26.1
171,10.76,26.2
172,10.76,26.4
173,10.76,26.6
174,10.76,26.7
175,10.77,26.9
176,10.77,27.1
177,10.77,27.2
178,10.77,27.3
179,10.77,27.5
180,10.78,27.6
181,10.78,27.7
182,10.78,27.8
183,10.78,27.9
184,10.78,28.2
185,10.79,28.3
186,10.79,28.5
187,10.79,28.5
188,10.79,28.6
189,10.79,28.6
190,10.79,28.7
191,10.79,28.8
192,10.8,28.9
193,10.8,29.0
194,10.8,29.1
195,10.8,29.1
196,10.8,29.1
197,10.8,29.2
198,10.8,29.3
199,10.8,29.4
200,10.8,29.4
201,10.8,29.5
