,angle,torque
0,17.13,13.6
1,17.12,13.8
2,17.1,14.4
3,17.09,14.5
4,17.08,14.7
5,17.07,14.8
6,17.05,15.1
7,17.03,15.6
8,17.0,16.1
9,16.98,16.7
10,16.96,17.0
11,16.94,17.5
12,16.92,17.9
13,16.91,18.3
14,16.88,18.8
15,16.86,19.2
16,16.85,19.7
17,16.84,19.9
18,16.84,20.0
19,16.84,20.1
20,16.83,20.3
21,16.82,20.6
22,16.8,21.1
23,16.79,21.5
24,16.77,21.8
25,16.75,22.3
26,16.74,22.7
27,16.72,23.3
28,16.71,23.8
29,16.69,24.3
30,16.68,24.6
31,16.67,25.0
32,16.66,25.3
33,16.65,25.5
34,16.64,25.8
35,16.63,26.1
36,16.62,26.5
37,16.6,26.8
38,16.59,27.3
39,16.58,27.6
40,16.57,28.0
41,16.55,28.5
42,16.54,28.9
43,16.53,29.2
44,16.52,29.6
45,16.51,29.8
46,16.51,30.1
47,16.5,30.2
48,16.5,30.2
49,16.5,30.3
50,16.49,30.5
51,16.49,30.7
52,16.48,31.0
53,16.47,31.3
54,16.47,31.5
55,16.46,31.7
56,16.46,31.9
57,16.45,32.1
58,16.44,32.4
59,16.44,32.5
60,16.44,32.6
61,16.44,32.7
62,16.44,32.7
63,16.44,32.7
64,16.43,32.9
65,16.43,33.1
66,16.42,33.4
67,16.42,33.7
68,16.41,34.0
69,16.4,34.2
70,16.4,34.4
71,16.39,34.6
72,16.38,35.0
73,16.37,35.2
74,16.36,35.6
75,16.35,35.9
76,16.34,36.2
77,16.32,36.7
78,16.3,37.3
79,16.29,38.0
80,16.27,38.5
81,16.26,39.0
82,16.24,39.3
83,16.23,39.7
84,16.22,40.1
85,16.21,40.5
86,16.2,40.8
87,16.2,40.9
88,16.19,41.2
89,16.18,41.5
90,16.17,41.9
91,16.16,42.2
92,16.15,42.5
93,16.15,42.7
94,16.14,43.0
95,16.13,43.3
96,16.11,43.8
97,16.1,44.1
98,16.1,44.3
99,16.09,44.4
100,16.09,44.4
101,16.09,44.7
102,16.08,45.1
103,16.07,45.3
104,16.07,45.5
105,16.06,45.7
106,16.05,46.0
107,16.04,46.3
108,16.03,46.6
109,16.03,46.8
110,16.02,47.2
111,16.01,47.4
112,16.0,47.7
113,15.99,48.1
114,15.98,48.3
115,15.98,48.6
116,15.98,48.7
117,15.98,48.9
118,15.97,49.1
119,15.96,49.3
120,15.95,49.6
121,15.95,49.9
122,15.93,50.1
123,15.92,50.3
124,15.9,47.6
125,15.82,44.9
126,15.74,45.2
127,15.63,45.2
128,15.51,45.4
129,15.4,45.6
130,15.32,45.9
131,15.25,46.5
132,15.22,46.8
133,15.21,46.9
134,15.22,46.3
135,15.25,44.5
136,15.26,43.5
137,15.26,43.1
138,15.25,43.4
139,15.24,44.4
140,15.22,45.5
141,15.21,46.5
142,15.2,47.4
143,15.2,47.6
144,15.2,47.6
145,15.2,47.5
146,15.2,47.6
147,15.19,47.9
148,15.18,48.6
149,15.17,49.0
150,15.16,49.3
151,15.15,49.7
152,15.13,50.1
153,15.13,50.3
154,15.12,50.5
155,15.11,50.7
156,15.1,50.7
157,15.1,50.7
158,15.1,50.6
159,15.09,50.7
160,15.09,50.8
161,15.09,50.9
162,15.09,51.2
163,15.08,51.4
164,15.07,51.9
165,15.05,52.3
166,15.04,52.8
167,15.02,52.7
168,15.0,52.2
169,14.96,51.6
170,14.9,51.5
