,angle,torque
0,28.91,0.5
1,29.0,0.4
2,29.08,0.3
3,29.17,0.3
4,29.28,0.3
5,29.39,0.4
6,29.5,0.4
7,29.59,0.5
8,29.72,0.6
9,29.85,0.7
10,30.0,0.6
11,30.07,0.6
12,30.14,0.5
13,30.17,0.4
14,30.17,0.4
15,30.18,0.4
16,30.17,0.4
17,30.16,0.5
18,30.12,0.5
19,30.06,0.4
20,29.97,0.6
21,29.86,0.9
22,29.73,1.3
23,29.57,1.7
24,29.33,2.7
25,29.18,3.2
26,28.98,4.6
27,28.72,7.0
28,28.64,8.9
29,28.5,11.3
30,28.4,14.3
31,28.36,15.8
32,28.35,16.5
33,28.35,16.3
34,28.34,16.5
35,28.32,17.1
36,28.26,18.3
37,28.19,20.8
38,28.11,22.7
39,28.06,25.5
40,28.01,27.2
41,27.98,28.4
42,27.95,29.6
43,27.92,30.3
44,27.9,31.3
45,27.88,32.0
46,27.86,33.0
47,27.83,33.9
48,27.81,34.6
49,27.79,35.6
50,27.77,36.2
51,27.74,37.2
52,27.72,38.2
53,27.7,38.8
54,27.69,39.3
55,27.67,39.9
56,27.66,40.3
57,27.64,40.9
58,27.62,41.7
59,27.6,42.9
60,27.59,43.3
61,27.57,43.8
62,27.56,44.4
63,27.55,44.8
64,27.54,45.3
65,27.53,45.7
66,27.52,45.9
67,27.51,46.1
68,27.5,46.3
69,27.49,46.7
70,27.47,47.3
71,27.46,47.6
72,27.45,48.1
73,27.44,48.5
74,27.44,48.9
75,27.43,49.0
76,27.42,49.2
77,27.41,49.5
78,27.4,49.8
79,27.39,50.1
80,27.38,50.6
81,27.37,50.8
82,27.37,51.1
83,27.37,51.1
84,27.37,51.1
85,27.36,51.2
86,27.35,51.5
87,27.34,52.0
88,27.33,52.3
89,27.33,52.6
90,27.32,52.8
91,27.32,53.0
92,27.31,53.3
93,27.29,54.0
94,27.27,54.9
95,27.26,55.4
96,27.24,56.0
97,27.23,56.5
98,27.23,56.7
99,27.21,57.2
100,27.19,57.7
101,27.18,58.6
102,27.17,59.2
103,27.15,59.6
104,27.14,60.0
105,27.13,60.3
106,27.11,61.0
107,27.1,61.4
108,27.09,61.8
109,27.09,62.3
110,27.08,62.6
111,27.06,63.4
112,27.04,64.1
113,27.03,64.7
114,27.02,65.2
115,27.01,65.4
116,27.0,65.7
117,27.0,66.1
118,26.99,66.4
119,26.98,66.7
120,26.98,66.9
121,26.97,67.3
122,26.96,67.7
123,26.94,68.5
124,26.93,69.0
125,26.93,69.4
126,26.92,69.7
127,26.91,70.2
128,26.89,71.0
129,26.88,71.8
130,26.86,72.6
131,26.85,72.9
132,26.84,73.3
133,26.82,74.1
134,26.8,74.6
135,26.79,75.7
136,26.77,76.4
137,26.75,77.2
138,26.73,78.0
139,26.71,78.6
140,26.69,79.3
141,26.67,80.0
142,26.66,80.2
143,26.65,80.5
144,26.62,80.3
145,26.6,80.1
146,26.56,79.9
147,26.52,79.8
148,26.46,78.8
149,26.39,78.1
150,26.3,78.3
151,26.21,78.7
152,26.12,79.5
153,26.05,80.0
154,26.0,80.7
155,25.96,81.1
156,25.92,81.6
157,25.9,81.7
158,25.89,82.0
159,25.87,82.6
160,25.84,83.1
161,25.8,83.9
162,25.77,84.4
163,25.75,84.6
164,25.72,85.0
165,25.69,85.2
166,25.65,82.7
167,25.6,81.1
168,25.52,79.5
169,25.44,79.4
170,25.32,79.1
171,25.17,79.1
172,25.08,79.3
173,24.98,79.7
174,24.86,80.3
175,24.77,80.7
176,24.7,81.2
177,24.63,81.7
178,24.59,82.2
179,24.54,82.9
180,24.5,83.4
181,24.45,84.0
182,24.41,84.3
183,24.37,84.7
184,24.33,84.9
185,24.29,85.4
186,24.26,85.7
187,24.22,85.9
188,24.2,86.1
189,24.18,86.2
190,24.17,86.5
191,24.16,86.8
192,24.14,87.4
193,24.13,87.6
