,angle,torque
0,9.62,10.6
1,9.6,10.9
2,9.58,11.3
3,9.56,11.5
4,9.54,12.0
5,9.51,12.3
6,9.48,12.8
7,9.45,13.2
8,9.42,13.6
9,9.39,14.2
10,9.37,14.5
11,9.35,15.0
12,9.33,15.3
13,9.31,15.8
14,9.23,17.5
15,9.21,17.9
16,9.19,18.2
17,9.17,18.5
18,9.16,19.0
19,9.14,19.2
20,9.13,19.6
21,9.12,19.8
22,9.11,20.0
23,9.1,20.1
24,9.1,20.3
25,9.09,20.5
26,9.08,20.8
27,9.07,20.9
28,9.05,21.4
29,9.04,21.6
30,9.03,21.8
31,9.01,22.2
32,9.0,22.3
33,9.0,22.5
34,9.0,22.5
35,9.0,22.6
36,9.0,22.7
37,8.99,22.8
38,8.98,23.0
39,8.97,23.2
40,8.97,23.3
41,8.96,23.4
42,8.96,23.4
43,8.96,23.4
44,8.96,23.6
45,8.95,23.7
46,8.95,23.7
47,8.95,23.7
48,8.95,23.7
49,8.95,23.9
50,8.94,24.0
51,8.92,24.5
52,8.91,24.7
53,8.91,24.9
54,8.9,25.0
55,8.9,25.1
56,8.9,25.2
57,8.89,25.2
58,8.89,25.4
59,8.89,25.5
60,8.89,25.6
61,8.89,25.7
62,8.89,25.7
63,8.88,25.7
64,8.88,25.8
65,8.88,25.8
66,8.88,25.7
67,8.88,25.7
68,8.88,25.8
69,8.87,26.1
70,8.86,26.3
71,8.85,26.5
72,8.85,26.7
73,8.85,26.7
74,8.84,26.8
75,8.83,27.0
76,8.83,27.3
77,8.82,27.4
78,8.82,27.5
79,8.81,27.5
80,8.81,27.5
81,8.81,27.5
82,8.8,27.7
83,8.8,27.9
84,8.8,27.9
85,8.8,28.0
86,8.8,28.0
87,8.79,28.0
88,8.79,28.1
89,8.79,28.2
90,8.78,28.2
91,8.78,28.3
92,8.78,28.3
93,8.78,28.4
94,8.77,28.5
95,8.77,28.8
96,8.77,28.8
97,8.77,28.8
98,8.77,28.7
99,8.77,28.7
100,8.77,28.8
101,8.76,29.0
102,8.76,29.0
103,8.76,29.1
104,8.76,29.2
105,8.75,29.2
106,8.75,29.3
107,8.75,29.4
108,8.75,29.5
109,8.75,29.6
110,8.74,29.8
111,8.74,29.9
112,8.74,30.0
113,8.74,30.1
