,angle,torque
0,10.57,8.4
1,10.33,8.8
2,10.28,8.9
3,10.23,9.0
4,10.18,9.1
5,10.13,9.2
6,10.09,9.3
7,10.04,9.3
8,9.99,9.4
9,9.93,9.5
10,9.91,9.5
11,9.88,9.6
12,9.85,9.6
13,9.83,9.6
14,9.82,9.6
15,9.82,9.6
16,9.82,9.5
17,9.81,9.5
18,9.81,9.5
19,9.81,9.5
20,9.81,9.4
21,9.81,9.5
22,9.8,9.6
23,9.8,9.7
24,9.79,9.9
25,9.78,9.9
26,9.77,10.0
27,9.75,10.1
28,9.74,10.1
29,9.72,10.2
30,9.71,10.2
31,9.69,10.3
32,9.67,10.3
33,9.65,10.4
34,9.62,10.4
35,9.6,10.5
36,9.57,10.5
37,9.55,10.6
38,9.52,10.6
39,9.48,10.7
40,9.46,10.8
41,9.43,10.8
42,9.4,10.9
43,9.38,10.9
44,9.35,11.0
45,9.32,11.0
46,9.3,11.1
47,9.28,11.2
48,9.26,11.2
49,9.24,11.3
50,9.23,11.3
51,9.21,11.4
52,9.2,11.4
53,9.18,11.4
54,9.17,11.5
55,9.16,11.5
56,9.14,11.6
57,9.13,11.7
58,9.12,11.7
59,9.1,11.8
60,9.08,11.8
61,9.06,11.9
62,9.04,12.0
63,9.01,12.1
64,8.97,12.1
65,8.92,12.1
66,8.87,12.1
67,8.81,12.1
68,8.74,12.2
69,8.69,12.2
70,8.63,12.4
71,8.59,12.5
72,8.52,12.6
73,8.48,12.7
74,8.43,12.8
75,8.39,13.0
76,8.35,13.1
77,8.31,13.2
78,8.28,13.3
79,8.25,13.5
80,8.22,13.6
81,8.19,13.7
82,8.16,13.8
83,8.11,14.0
84,8.08,14.1
85,8.04,14.2
86,8.01,14.3
87,7.97,14.4
88,7.93,14.5
89,7.89,14.6
90,7.84,14.7
91,7.8,14.8
92,7.75,14.9
93,7.72,15.0
94,7.66,15.2
95,7.63,15.2
96,7.57,15.4
97,7.54,15.6
98,7.51,15.7
99,7.48,15.8
100,7.45,15.9
101,7.42,16.0
102,7.41,16.1
103,7.39,16.2
104,7.37,16.3
105,7.36,16.3
106,7.34,16.4
107,7.33,16.5
108,7.31,16.6
109,7.3,16.6
110,7.29,16.7
111,7.28,16.8
112,7.26,16.8
113,7.25,16.9
114,7.24,16.9
115,7.23,16.9
116,7.22,17.0
117,7.21,17.0
118,7.21,17.0
119,7.2,17.0
120,7.2,17.1
121,7.19,17.1
122,7.18,17.2
123,7.17,17.3
124,7.16,17.3
125,7.15,17.3
126,7.14,17.4
127,7.13,17.4
128,7.13,17.4
129,7.13,17.4
130,7.12,17.4
131,7.11,17.5
132,7.1,17.5
133,7.1,17.6
134,7.09,17.7
135,7.08,17.7
136,7.08,17.8
137,7.07,17.8
138,7.06,17.9
139,7.05,17.9
140,7.04,18.0
141,7.02,18.1
142,6.99,18.2
143,6.98,18.2
144,6.94,18.2
145,6.91,18.2
146,6.89,18.2
147,6.87,18.3
148,6.84,18.3
149,6.82,18.4
150,6.8,18.4
151,6.8,18.4
152,6.79,18.4
153,6.79,18.3
154,6.79,18.3
155,6.79,18.3
156,6.79,18.4
157,6.78,18.4
158,6.78,18.5
159,6.78,18.6
160,6.77,18.6
161,6.77,18.8
162,6.76,18.9
163,6.75,19.1
164,6.74,19.1
165,6.72,19.2
166,6.71,19.2
167,6.7,19.2
168,6.69,19.3
169,6.66,19.4
170,6.65,19.4
171,6.63,19.4
172,6.62,19.5
173,6.6,19.5
174,6.59,19.5
175,6.57,19.6
176,6.56,19.6
177,6.54,19.7
178,6.53,19.8
179,6.5,19.9
180,6.49,20.0
181,6.46,20.0
182,6.43,20.0
183,6.41,20.0
184,6.38,19.9
185,6.34,19.9
186,6.31,19.9
187,6.28,19.9
188,6.25,20.0
189,6.22,20.1
190,6.2,20.2
191,6.17,20.3
192,6.16,20.3
193,6.14,20.4
194,6.13,20.5
195,6.12,20.6
196,6.11,20.7
197,6.09,20.9
198,6.09,21.0
199,6.07,21.0
200,6.06,21.1
201,6.05,21.2
202,6.03,21.4
203,6.02,21.5
204,5.99,21.6
205,5.97,21.6
206,5.93,21.5
207,5.91,21.5
208,5.88,21.6
209,5.85,21.7
210,5.82,21.7
211,5.79,21.8
212,5.76,21.8
213,5.73,21.9
214,5.69,22.0
215,5.67,22.1
216,5.64,22.2
217,5.61,22.4
218,5.58,22.5
219,5.53,22.6
220,5.5,22.7
221,5.47,22.7
222,5.43,22.9
223,5.39,22.9
224,5.35,23.1
225,5.32,23.1
226,5.28,23.2
227,5.24,23.4
228,5.22,23.5
229,5.18,23.6
230,5.16,23.8
231,5.14,23.9
232,5.11,24.0
233,5.08,24.2
234,5.06,24.3
235,5.04,24.4
236,5.02,24.6
237,4.99,24.7
238,4.96,24.8
239,4.94,24.9
240,4.92,25.0
241,4.89,25.1
242,4.87,25.2
243,4.84,25.3
244,4.81,25.4
245,4.78,25.5
246,4.75,25.6
247,4.72,25.7
248,4.68,25.8
249,4.65,25.8
250,4.61,26.0
251,4.59,26.0
252,4.56,26.2
253,4.54,26.3
254,4.52,26.4
255,4.5,26.5
256,4.49,26.5
257,4.48,26.6
258,4.48,26.6
259,4.48,26.6
260,4.48,26.6
261,4.47,26.7
262,4.47,26.9
263,4.46,27.0
264,4.46,27.1
265,4.46,27.1
266,4.46,27.1
267,4.46,27.0
268,4.46,26.9
269,4.46,26.9
270,4.46,26.8
271,4.46,26.7
272,4.46,26.4
273,4.46,26.2
274,4.46,26.2
275,4.46,26.2
276,4.46,26.3
277,4.46,26.2
278,4.46,26.1
279,4.46,26.1
280,4.46,26.2
281,4.46,26.2
282,4.46,26.3
283,4.46,26.4
284,4.46,26.6
285,4.45,26.9
286,4.45,27.1
287,4.45,27.3
288,4.45,27.4
289,4.44,27.5
290,4.43,27.7
291,4.42,27.9
292,4.42,27.9
293,4.42,27.6
294,4.42,27.3
295,4.42,26.9
296,4.42,26.7
297,4.42,26.5
298,4.42,26.3
299,4.42,26.1
300,4.43,25.6
301,4.44,25.2
302,4.45,24.9
303,4.46,24.3
304,4.47,23.5
305,4.49,22.6
306,4.51,21.7
307,4.54,20.2
308,4.57,18.8
309,4.61,17.2
310,4.65,16.0
311,4.71,14.7
312,4.77,12.7
313,4.86,11.3
314,4.96,9.6
315,5.06,7.6
316,5.17,6.3
317,5.29,4.6
318,5.41,3.6
319,5.54,2.3
320,5.67,1.6
321,5.81,0.8
322,5.96,0.5
323,6.08,0.3
324,6.25,0.2
325,6.42,0.2
326,6.59,0.2
327,6.78,0.2
328,6.97,0.2
329,7.16,0.2
330,7.34,0.2
331,7.53,0.2
332,7.76,0.2
333,7.89,0.2
334,8.02,0.2
335,8.17,0.1
336,8.37,0.1
337,8.48,0.1
338,8.62,0.1
339,8.76,0.1
340,8.91,0.1
341,11.56,0.1
342,11.6,0.1
343,11.65,0.1
344,11.7,0.1
345,11.75,0.1
346,11.79,0.1
347,11.82,0.1
348,12.11,0.1
349,12.13,0.1
350,12.43,0.0
351,12.01,0.1
352,11.96,0.1
353,11.91,0.1
354,11.88,0.1
355,11.84,0.1
356,11.79,0.1
357,11.76,0.1
358,11.71,0.1
359,11.68,0.1
360,11.64,0.1
361,11.61,0.1
362,11.57,0.1
363,11.54,0.1
364,11.52,0.1
365,11.5,0.1
366,11.48,0.1
367,11.46,0.1
368,11.44,0.0
369,11.41,0.0
370,11.37,0.0
371,11.33,0.0
372,11.27,0.0
