,angle,torque
0,26.94,14.5
1,26.89,15.3
2,26.82,16.0
3,26.76,17.1
4,26.71,17.9
5,26.68,18.6
6,26.65,19.4
7,26.63,20.0
8,26.61,20.8
9,26.58,21.4
10,26.55,22.1
11,26.53,22.6
12,26.49,23.5
13,26.47,24.0
14,26.44,25.0
15,26.41,25.7
16,26.38,26.6
17,26.35,27.8
18,26.31,28.7
19,26.28,30.0
20,26.25,30.9
21,26.21,32.1
22,26.19,33.0
23,26.15,34.4
24,26.14,34.6
25,26.12,35.5
26,26.1,36.3
27,26.07,37.1
28,26.04,37.9
29,26.02,38.8
30,25.99,39.9
31,25.97,40.6
32,25.95,41.6
33,25.93,42.3
34,25.91,42.6
35,25.89,43.6
36,25.87,44.1
37,25.85,45.0
38,25.84,45.6
39,25.82,46.2
40,25.81,46.5
41,25.8,47.1
42,25.78,47.7
43,25.76,48.7
44,25.74,49.3
45,25.73,49.6
46,25.72,49.8
47,25.71,50.0
48,25.7,50.5
49,25.69,51.0
50,25.68,51.3
51,25.67,51.6
52,25.67,51.9
53,25.65,52.4
54,25.64,52.8
55,25.63,53.4
56,25.61,53.8
57,25.6,54.3
58,25.59,54.6
59,25.57,55.4
60,25.55,56.1
61,25.53,57.0
62,25.51,58.0
63,25.48,58.7
64,25.46,59.6
65,25.44,60.5
66,25.42,61.4
67,25.39,62.0
68,25.37,63.0
69,25.36,63.5
70,25.36,63.7
71,25.34,63.9
72,25.33,64.3
73,25.31,65.2
74,25.29,66.1
75,25.27,67.1
76,25.25,67.6
77,25.24,68.0
78,25.23,68.5
79,25.22,69.1
80,25.21,69.3
81,25.2,69.8
82,25.18,70.4
83,25.16,71.3
84,25.14,72.1
85,25.13,72.6
86,25.12,73.2
87,25.11,73.5
88,25.09,74.5
89,25.08,75.0
90,25.06,75.7
91,25.05,76.0
92,25.05,76.2
93,25.04,76.4
94,25.04,76.5
95,25.03,76.9
96,25.02,77.3
97,25.01,78.0
98,25.0,78.5
99,24.99,79.0
100,24.97,79.7
101,24.96,80.1
102,24.94,80.8
103,24.93,81.1
104,24.92,81.3
105,24.92,81.3
106,24.92,81.1
107,24.92,81.2
108,24.91,81.7
109,24.9,82.3
110,24.89,82.5
111,24.89,82.9
112,24.88,83.0
113,24.88,83.3
114,24.87,83.6
115,24.86,84.2
116,24.85,84.6
117,24.84,84.9
118,24.84,85.2
119,24.83,85.5
120,24.82,86.1
121,24.81,86.6
122,24.8,87.1
123,24.79,87.3
124,24.79,87.7
125,24.78,88.0
126,24.77,88.2
127,24.77,88.4
128,24.76,88.6
129,24.75,88.8
130,24.75,88.9
131,24.75,89.0
132,24.75,89.0
133,24.75,88.8
134,24.75,88.4
135,24.75,88.3
136,24.74,88.7
137,24.73,89.4
138,24.72,89.7
139,24.72,89.6
140,24.72,89.4
141,24.72,89.3
142,24.71,89.7
143,24.71,89.9
144,24.72,89.6
145,24.72,88.7
146,24.71,88.6
147,24.69,89.6
148,24.68,90.5
149,24.68,91.0
150,24.69,90.7
151,24.69,90.1
152,24.68,90.4
153,24.66,91.8
154,24.64,92.7
155,24.64,92.9
156,24.65,92.0
157,24.65,91.2
158,24.63,91.6
159,24.61,93.1
160,24.59,94.4
161,24.58,95.0
162,24.59,94.7
163,24.59,93.6
164,24.58,93.5
165,24.56,94.6
166,24.55,95.5
167,24.56,95.2
168,24.59,93.9
169,24.61,90.6
170,24.62,89.5
171,24.63,88.1
172,24.64,87.4
173,24.64,87.1
174,24.63,87.6
175,24.62,88.3
176,24.62,88.6
177,24.6,89.2
178,24.57,90.9
179,24.54,94.2
180,24.52,95.7
181,24.52,96.0
182,24.51,95.8
183,24.5,96.2
184,24.47,95.2
185,24.35,87.9
186,24.21,84.4
187,23.98,85.7
188,23.71,86.9
189,23.41,87.9
190,23.07,89.6
191,22.86,91.1
192,22.73,91.7
193,22.72,91.0
194,22.86,83.2
195,22.91,80.2
196,22.96,72.8
197,22.97,70.8
198,22.97,69.8
199,22.98,69.6
200,22.98,69.0
201,22.98,69.0
202,22.98,69.0
203,23.0,68.4
204,23.02,66.9
205,23.03,65.6
206,23.04,64.7
207,23.05,64.1
208,23.06,63.7
209,23.08,62.8
210,23.11,61.0
211,23.14,59.6
212,23.17,57.5
213,23.2,56.1
214,23.24,54.0
215,23.29,52.3
216,23.35,49.7
217,23.4,47.2
218,23.46,44.2
219,23.53,42.2
220,23.6,39.5
221,23.69,36.3
222,23.8,33.2
223,23.9,29.2
224,24.01,26.6
225,24.13,22.9
226,24.25,20.4
227,24.33,17.1
228,24.44,15.1
229,24.56,12.7
230,24.69,9.7
231,24.76,8.8
232,24.82,7.7
233,24.91,6.7
234,25.01,5.5
235,25.1,4.6
236,25.18,3.8
237,25.31,2.9
238,25.48,1.6
239,25.57,1.2
240,25.71,0.7
241,25.83,0.5
242,25.95,0.4
243,26.05,0.3
244,26.19,0.3
245,26.34,0.3
246,26.5,0.3
247,26.65,0.2
248,26.86,0.2
249,26.99,0.2
250,27.12,0.2
251,27.39,0.2
252,27.57,0.2
253,27.74,0.1
254,27.87,0.1
255,28.02,0.1
256,28.17,0.0
257,28.32,0.0
258,28.46,0.0
259,28.6,0.0
260,28.76,0.0
261,28.84,0.0
262,28.95,0.0
263,29.05,0.0
264,29.16,0.1
265,29.24,0.1
266,29.35,0.1
267,29.46,0.1
268,29.57,0.1
269,29.69,0.1
270,29.81,0.1
271,29.94,0.1
272,30.08,0.1
273,30.23,0.1
274,30.38,0.1
275,30.5,0.1
276,30.67,0.1
277,30.85,0.1
278,31.03,0.1
279,31.21,0.1
280,31.41,0.1
281,31.67,0.1
282,31.83,0.1
283,32.06,0.1
284,41.97,0.1
285,42.0,0.1
286,42.07,0.0
287,42.15,0.1
288,42.23,0.1
289,42.33,0.1
290,42.44,0.1
291,42.58,0.0
292,42.66,0.0
293,42.78,0.1
294,43.59,0.1
295,43.59,0.0
296,43.6,0.0
