,angle,torque
0,23.53,11.8
1,23.52,12.2
2,23.5,12.8
3,23.48,13.3
4,23.47,13.6
5,23.45,14.0
6,23.43,14.3
7,23.41,14.8
8,23.36,15.4
9,23.31,16.4
10,23.25,17.2
11,23.19,18.7
12,23.13,19.7
13,23.07,21.2
14,23.02,22.4
15,23.01,23.1
16,23.0,23.8
17,22.99,23.9
18,23.0,23.6
19,22.99,23.6
20,22.98,24.1
21,22.96,24.6
22,22.93,25.4
23,22.92,25.9
24,22.9,26.3
25,22.88,26.9
26,22.87,27.2
27,22.86,27.7
28,22.84,28.0
29,22.81,28.8
30,22.79,29.2
31,22.77,29.7
32,22.74,30.5
33,22.72,31.1
34,22.69,32.1
35,22.66,32.8
36,22.64,33.7
37,22.61,34.1
38,22.59,34.6
39,22.57,35.1
40,22.55,35.5
41,22.52,35.7
42,22.49,35.8
43,22.45,36.0
44,22.39,36.1
45,22.31,36.0
46,22.25,35.7
47,22.14,35.7
48,22.03,35.9
49,21.93,36.2
50,21.82,36.6
51,21.74,36.9
52,21.66,37.4
53,21.63,37.7
54,21.61,38.0
55,21.6,38.1
56,21.6,38.0
57,21.6,37.9
58,21.6,37.9
59,21.59,38.4
60,21.57,38.9
61,21.56,39.6
62,21.54,40.0
63,21.52,40.3
64,21.49,40.6
65,21.46,40.7
66,21.43,40.8
67,21.39,40.8
68,21.35,40.8
69,21.29,40.8
70,21.24,40.8
71,21.18,40.9
72,21.12,41.2
73,21.07,41.4
74,21.03,41.6
75,20.98,42.0
76,20.95,42.3
77,20.93,42.5
78,20.91,42.7
79,20.89,42.9
80,20.89,43.0
81,20.88,43.1
82,20.88,43.2
83,20.87,43.5
84,20.87,43.7
85,20.86,43.8
86,20.86,44.0
87,20.85,44.3
88,20.84,44.5
89,20.84,44.6
90,20.84,44.6
91,20.84,44.5
92,20.84,44.6
93,20.84,44.6
94,20.84,44.5
95,20.84,44.5
96,20.84,44.7
97,20.84,44.8
98,20.83,44.9
99,20.82,45.1
100,20.81,45.6
101,20.8,46.1
102,20.78,46.6
103,20.77,46.7
104,20.75,46.6
105,20.74,46.4
106,20.71,46.1
107,20.67,45.7
108,20.6,45.0
109,20.55,44.8
110,20.48,44.6
111,20.4,44.6
112,20.31,44.7
113,20.24,44.9
114,20.17,45.3
115,20.11,45.5
116,20.07,45.9
117,20.04,46.2
118,20.03,46.4
119,20.02,46.6
120,20.01,46.7
121,20.01,47.1
122,20.0,47.2
123,19.99,47.6
124,19.98,47.9
125,19.97,48.2
126,19.96,48.5
127,19.95,48.8
128,19.94,49.0
129,19.93,49.1
130,19.93,49.2
131,19.92,49.3
132,19.91,49.5
133,19.9,49.6
134,19.9,49.7
135,19.9,49.7
136,19.9,49.7
137,19.89,49.8
138,19.89,49.9
139,19.89,50.0
140,19.89,50.0
141,19.89,50.0
142,19.89,50.0
143,19.89,50.2
144,19.87,50.5
145,19.87,51.0
146,19.87,51.2
147,19.86,51.2
148,19.85,51.6
149,19.83,51.8
150,19.81,52.3
151,19.79,51.3
152,19.74,49.5
153,19.67,49.0
154,19.53,48.8
155,19.41,48.6
156,19.27,48.7
157,19.14,49.0
158,19.04,49.3
159,18.96,49.8
160,18.93,49.9
161,18.92,49.4
162,18.96,47.4
163,19.02,44.6
164,19.08,39.7
165,19.11,37.7
166,19.12,35.9
167,19.12,35.6
168,19.12,35.6
169,19.14,35.1
170,19.15,34.3
171,19.19,32.4
172,19.23,31.0
173,19.28,29.0
174,19.31,27.5
175,19.35,26.4
176,19.39,24.8
177,19.43,23.7
178,19.46,22.2
179,19.5,21.2
180,19.56,19.8
181,19.59,18.5
182,19.65,17.4
183,19.71,15.7
184,19.8,14.0
185,19.86,12.4
186,19.95,11.0
187,20.04,8.9
188,20.14,7.6
189,20.22,5.9
190,20.31,5.0
191,20.42,3.9
192,20.48,3.2
193,20.57,2.4
194,20.66,1.9
195,20.81,1.3
196,20.9,1.1
197,21.01,0.9
198,21.12,0.6
199,21.22,0.5
200,21.31,0.4
201,21.45,0.3
202,21.63,0.3
203,21.83,0.3
204,22.05,0.3
205,22.25,0.3
206,22.46,0.3
207,22.67,0.3
208,22.88,0.4
209,23.11,0.4
210,23.34,0.3
211,23.51,0.3
212,23.74,0.2
213,23.96,0.2
214,24.17,0.1
215,24.35,0.1
216,24.49,0.1
217,24.59,0.1
218,24.65,0.1
219,24.69,0.1
220,24.71,0.1
221,24.72,0.1
222,24.76,0.1
223,24.82,0.1
224,24.88,0.1
225,24.98,0.1
226,25.07,0.1
227,25.17,0.1
228,25.28,0.1
229,25.41,0.1
230,25.55,0.1
231,23.41,0.2
232,23.1,0.2
233,22.48,0.2
234,22.25,0.2
235,21.95,0.2
236,21.65,0.2
237,21.35,0.2
238,21.05,0.2
239,20.75,0.2
240,20.38,0.2
241,20.15,0.2
242,19.93,0.2
243,19.63,0.2
244,19.33,0.2
245,19.03,0.2
246,18.73,0.2
247,18.42,0.2
248,18.12,0.2
249,17.82,0.2
250,17.52,0.2
