,angle,torque
0,18.95,9.2
1,18.89,9.5
2,18.78,10.1
3,18.69,10.9
4,18.62,11.4
5,18.57,11.8
6,18.55,11.8
7,18.53,11.7
8,18.51,11.7
9,18.5,11.8
10,18.45,13.0
11,18.41,13.5
12,18.38,13.8
13,18.33,14.8
14,18.27,15.7
15,18.24,17.1
16,18.19,17.9
17,18.15,19.0
18,18.11,19.9
19,18.09,20.8
20,18.06,21.3
21,18.04,21.9
22,18.02,22.5
23,18.0,23.1
24,17.97,23.8
25,17.93,24.7
26,17.88,26.0
27,17.85,27.0
28,17.82,27.9
29,17.8,28.7
30,17.8,28.9
31,17.79,29.0
32,17.78,29.4
33,17.76,29.8
34,17.73,30.5
35,17.71,31.3
36,17.68,31.8
37,17.66,32.6
38,17.63,33.3
39,17.61,34.1
40,17.6,34.8
41,17.58,35.3
42,17.56,35.8
43,17.55,36.0
44,17.54,36.2
45,17.53,36.7
46,17.51,37.0
47,17.5,37.6
48,17.47,38.4
49,17.45,39.0
50,17.43,39.7
51,17.41,40.6
52,17.4,41.0
53,17.4,41.2
54,17.4,41.3
55,17.39,41.7
56,17.37,42.1
57,17.36,42.8
58,17.34,43.2
59,17.33,43.5
60,17.33,43.7
61,17.33,43.8
62,17.32,43.9
63,17.32,44.0
64,17.31,44.2
65,17.3,44.5
66,17.29,45.0
67,17.29,45.2
68,17.29,45.3
69,17.29,45.3
70,17.29,45.2
71,17.29,44.9
72,17.29,44.7
73,17.29,44.4
74,17.29,44.3
75,17.29,44.1
76,17.29,43.9
77,17.29,43.8
78,17.29,43.9
79,17.29,43.9
80,17.29,43.9
81,17.29,43.8
82,17.29,43.7
83,17.29,43.6
84,17.29,43.6
85,17.29,43.5
86,17.29,43.4
87,17.29,43.1
88,17.29,43.1
89,17.28,43.5
90,17.28,43.8
91,17.27,44.3
92,17.26,44.8
93,17.24,45.5
94,17.23,45.9
95,17.22,46.4
96,17.21,46.9
97,17.19,47.2
98,17.18,47.8
99,17.15,48.6
100,17.13,49.3
101,17.11,50.2
102,17.09,51.0
103,17.07,51.6
104,17.04,52.3
105,17.01,53.4
106,17.0,53.8
107,16.98,54.3
108,16.97,54.6
109,16.95,55.1
110,16.92,55.4
111,16.9,55.2
112,16.85,54.2
113,16.79,53.7
114,16.71,53.5
115,16.62,53.4
116,16.53,53.5
117,16.44,53.7
118,16.37,54.0
119,16.29,54.6
120,16.26,54.8
121,16.22,55.1
122,16.2,55.5
123,16.19,55.8
124,16.17,56.1
125,16.16,56.5
126,16.13,56.9
127,16.11,57.7
128,16.08,58.1
129,16.05,58.5
130,16.03,58.6
131,15.99,58.7
132,15.96,58.8
133,15.92,58.9
134,15.89,58.9
135,15.84,59.0
136,15.81,59.1
137,15.78,59.2
138,15.76,59.4
139,15.74,59.6
140,15.72,59.8
141,15.71,59.9
142,15.69,60.2
143,15.68,60.5
144,15.67,60.8
145,15.65,61.3
146,15.64,61.5
147,15.63,61.8
148,15.61,62.1
149,15.59,62.6
150,15.56,62.9
151,15.53,62.6
152,15.5,62.0
153,15.47,61.6
154,15.4,61.3
155,15.32,61.1
156,15.26,60.8
157,15.17,60.7
158,15.07,60.8
159,14.98,61.0
160,14.88,61.4
161,14.83,61.7
162,14.78,62.1
163,14.75,62.4
164,14.73,62.6
165,14.72,62.7
166,14.72,62.6
167,14.71,62.8
168,14.7,63.0
169,14.69,63.3
170,14.69,63.6
171,14.67,64.0
172,14.66,64.6
173,14.65,65.0
174,14.64,65.2
175,14.65,65.0
176,14.66,64.0
177,14.68,62.8
178,14.72,60.0
179,14.75,57.8
180,14.77,55.8
181,14.81,53.7
182,14.86,50.4
183,14.91,47.8
184,14.96,44.0
185,15.03,40.3
186,15.06,38.3
187,15.12,36.0
188,15.2,32.6
189,15.31,29.0
190,15.37,26.9
191,15.51,23.2
192,15.58,21.1
193,15.68,18.1
194,15.79,16.1
195,15.9,13.3
196,16.01,11.5
197,16.13,9.5
198,16.23,7.3
199,16.33,6.1
200,16.42,4.6
201,16.55,3.4
202,16.63,2.8
203,16.71,2.3
204,16.79,2.0
205,16.84,1.6
206,16.92,1.3
207,17.0,1.0
208,17.1,0.7
209,17.21,0.6
210,17.34,0.5
211,17.48,0.4
212,17.62,0.3
213,17.74,0.2
214,17.92,0.1
215,17.97,0.0
216,18.08,0.0
217,18.19,0.0
218,18.26,0.0
219,18.35,0.0
220,18.46,0.1
221,18.59,0.0
222,18.75,0.0
223,18.93,0.0
224,19.15,0.1
225,19.41,0.1
226,19.62,0.1
227,19.92,0.1
228,20.25,0.1
229,20.59,0.1
230,20.97,0.1
231,21.38,0.1
232,21.82,0.1
233,22.29,0.1
234,22.78,0.1
235,23.31,0.1
236,23.86,0.1
237,24.44,0.1
238,24.88,0.1
239,25.49,0.1
240,26.13,0.2
241,26.77,0.2
242,27.43,0.2
243,28.11,0.2
244,28.81,0.2
245,29.7,0.1
246,30.24,0.1
247,30.98,0.1
248,31.53,0.1
249,32.29,0.1
250,33.05,0.1
251,33.81,0.1
252,34.58,0.1
253,35.34,0.1
254,36.09,0.1
255,36.84,0.1
256,37.58,0.2
257,38.14,0.2
258,38.86,0.2
259,39.56,0.3
260,40.25,0.3
261,40.91,0.3
262,41.56,0.3
263,42.48,0.3
264,43.21,0.3
265,43.62,0.3
266,44.14,0.3
267,44.5,0.3
268,44.97,0.3
269,45.4,0.4
270,45.8,0.4
271,46.17,0.4
272,46.51,0.4
273,46.82,0.4
274,47.1,0.4
275,47.35,0.4
276,47.63,0.4
277,47.83,0.4
278,47.99,0.4
279,48.14,0.4
280,48.27,0.4
281,48.38,0.4
282,48.46,0.4
283,48.56,0.4
284,48.64,0.4
285,48.72,0.4
286,48.77,0.3
287,48.79,0.3
288,48.79,0.3
289,48.77,0.4
290,48.72,0.4
291,48.65,0.4
292,48.59,0.4
293,48.47,0.4
294,48.34,0.4
295,48.19,0.4
296,47.97,0.4
297,47.83,0.4
298,47.62,0.4
299,47.39,0.4
300,47.13,0.4
301,46.86,0.3
302,46.56,0.3
303,46.33,0.3
304,46.01,0.3
305,45.67,0.3
306,45.14,0.3
307,44.96,0.3
308,44.58,0.3
309,44.19,0.3
310,43.78,0.3
311,43.36,0.3
312,43.04,0.3
313,42.59,0.3
314,42.13,0.3
315,41.65,0.3
316,40.91,0.3
317,40.65,0.3
318,40.14,0.3
319,39.62,0.3
320,39.08,0.3
321,38.54,0.3
322,37.98,0.3
323,37.56,0.3
324,36.98,0.3
325,19.08,0.1
326,19.22,0.1
327,19.5,0.1
328,19.9,0.1
329,20.42,0.1
330,20.91,0.1
