,angle,torque
0,0.83,13.2
1,0.87,13.5
2,0.92,14.1
3,0.97,14.6
4,1.01,15.2
5,1.04,15.6
6,1.06,16.0
7,1.08,16.3
8,1.09,16.4
9,1.11,16.7
10,1.11,16.8
11,1.13,17.1
12,1.14,17.3
13,1.15,17.5
14,1.17,17.7
15,1.19,17.9
16,1.2,18.2
17,1.22,18.5
18,1.24,18.8
19,1.26,19.1
20,1.27,19.3
21,1.28,19.5
22,1.29,19.6
23,1.3,19.7
24,1.31,19.8
25,1.32,20.0
26,1.33,20.2
27,1.34,20.4
28,1.35,20.5
29,1.36,20.6
30,1.37,20.7
31,1.38,20.8
32,1.4,21.1
33,1.41,21.3
34,1.42,21.6
35,1.44,21.9
36,1.45,22.1
37,1.46,22.2
38,1.47,22.4
39,1.47,22.4
40,1.47,22.5
41,1.47,22.6
42,1.48,22.8
43,1.49,22.9
44,1.5,23.0
45,1.5,23.2
46,1.51,23.3
47,1.52,23.5
48,1.53,23.8
49,1.53,24.0
50,1.54,24.2
51,1.55,24.5
52,1.56,24.7
53,1.57,25.0
54,1.59,25.4
55,1.61,25.9
56,1.62,26.1
57,1.63,26.5
58,1.64,26.8
59,1.66,27.2
60,1.68,27.5
61,1.69,27.8
62,1.71,28.1
63,1.72,28.3
64,1.73,28.6
65,1.73,28.7
66,1.74,28.9
67,1.75,29.1
68,1.77,29.4
69,1.78,29.7
70,1.79,30.0
71,1.8,30.2
72,1.82,30.5
73,1.83,30.8
74,1.84,31.1
75,1.85,31.5
76,1.86,31.7
77,1.88,32.1
78,1.89,32.4
79,1.9,32.7
80,1.91,32.9
81,1.92,33.1
82,1.92,33.3
83,1.93,33.5
84,1.94,33.9
85,1.96,34.2
86,1.97,34.8
87,1.99,35.1
88,2.0,35.6
89,2.01,35.8
90,2.02,36.0
91,2.03,36.3
92,2.05,36.6
93,2.06,36.9
94,2.07,37.2
95,2.08,37.5
96,2.09,37.8
97,2.1,38.0
98,2.11,38.4
99,2.12,38.6
100,2.13,39.0
101,2.14,39.3
102,2.15,39.6
103,2.16,39.8
104,2.17,39.9
105,2.17,40.1
106,2.19,40.3
107,2.2,40.7
108,2.21,40.9
109,2.21,41.1
110,2.22,41.2
111,2.22,41.4
112,2.23,41.6
113,2.24,41.8
114,2.25,42.1
115,2.26,42.0
116,2.29,40.8
117,2.31,40.6
118,2.34,40.1
119,2.39,39.9
120,2.46,39.8
121,2.49,39.8
122,2.52,39.8
123,2.54,39.8
124,2.55,39.8
125,2.56,39.6
126,2.56,39.4
127,2.56,39.2
128,2.56,39.3
129,2.56,39.4
130,2.57,39.8
131,2.58,40.2
132,2.59,40.6
133,2.61,41.0
134,2.61,41.0
135,2.62,41.0
136,2.62,41.1
137,2.63,41.2
138,2.64,41.4
139,2.65,41.5
140,2.66,41.7
141,2.68,41.8
142,2.69,41.9
143,2.7,41.9
144,2.72,42.0
145,2.75,42.1
146,2.77,42.2
147,2.8,42.2
148,2.83,42.2
149,2.85,42.2
150,2.88,42.2
151,2.89,42.3
152,2.92,42.4
153,2.94,42.6
154,2.96,42.7
155,2.97,42.9
156,2.99,43.0
157,3.01,43.1
158,3.02,43.3
159,3.05,43.4
160,3.07,43.6
161,3.1,43.6
162,3.12,43.7
163,3.16,43.8
164,3.17,43.9
165,3.2,44.0
166,3.23,44.1
167,3.25,44.3
168,3.28,44.4
169,3.31,44.5
170,3.34,44.6
171,3.36,44.7
172,3.39,44.9
173,3.41,45.0
174,3.44,45.1
175,3.47,45.2
176,3.49,45.4
177,3.52,45.5
178,3.54,45.7
179,3.57,45.8
180,3.59,45.9
181,3.61,46.1
182,3.64,46.2
183,3.66,46.4
184,3.69,46.5
185,3.71,46.6
186,3.73,46.6
187,3.75,46.8
188,3.78,46.9
189,3.78,47.0
190,3.8,47.0
191,3.81,47.1
192,3.82,47.2
193,3.83,47.3
194,3.84,47.4
195,3.85,47.5
196,3.85,47.5
197,3.85,47.5
198,3.86,47.6
199,3.86,47.6
200,3.86,47.6
201,3.86,47.5
202,3.86,47.2
203,3.86,46.9
204,3.86,46.9
205,3.86,46.9
206,3.86,46.8
207,3.86,46.4
208,3.86,46.0
209,3.86,46.0
210,3.86,46.1
211,3.86,46.1
212,3.86,45.7
213,3.86,45.3
214,3.86,45.0
215,3.86,44.8
216,3.86,44.7
217,3.86,44.5
218,3.85,44.2
219,3.85,43.7
220,3.84,42.8
221,3.84,42.4
222,3.84,42.2
223,3.84,42.2
224,3.83,41.6
225,3.82,41.0
226,3.81,40.0
227,3.79,39.1
228,3.76,37.8
229,3.74,36.6
230,3.71,35.1
231,3.66,32.8
232,3.61,31.0
233,3.55,28.3
234,3.51,26.7
235,3.46,24.1
236,3.41,22.5
237,3.36,21.8
238,3.3,20.1
239,3.23,18.2
240,3.18,17.1
241,3.11,15.9
242,3.03,14.2
243,2.96,13.0
244,2.86,11.3
245,2.8,10.3
246,2.71,8.7
247,2.63,7.6
248,2.56,7.1
249,2.46,5.8
250,2.36,5.0
251,2.26,4.0
252,2.17,3.3
253,2.07,2.4
254,1.97,1.9
255,1.87,1.2
256,1.79,0.8
257,1.68,0.6
258,1.54,0.4
259,1.38,0.3
260,1.21,0.3
261,1.03,0.3
262,0.83,0.3
263,0.61,0.2
264,0.39,0.2
265,0.16,0.2
266,0.07,0.2
267,0.31,0.2
268,0.49,0.2
269,0.73,0.2
270,0.98,0.2
271,1.23,0.2
272,1.48,0.2
273,1.73,0.1
274,1.98,0.1
275,27.63,0.1
276,28.32,0.1
277,43.34,0.0
278,43.51,0.0
