,angle,torque
0,16,13.7
1,16.03,14.1
2,16.04,14.7
3,16.06,15.4
4,16.09,16
5,16.1,16.3
6,16.11,16.7
7,16.12,16.9
8,16.12,17
9,16.12,17
10,16.12,17
11,16.12,16.9
12,16.12,17
13,16.12,17
14,16.12,17
15,16.13,17.1
16,16.13,17.2
17,16.14,17.3
18,16.14,17.4
19,16.15,17.5
20,16.16,17.6
21,16.16,17.7
22,16.17,17.9
23,16.17,18.1
24,16.18,18.4
25,16.18,18.5
26,16.19,18.7
27,16.19,18.9
28,16.19,18.9
29,16.2,19.1
30,16.21,19.3
31,16.22,19.6
32,16.22,19.9
33,16.23,20.2
34,16.24,20.5
35,16.25,20.7
36,16.27,21
37,16.28,21.6
38,16.31,22.1
39,16.33,22.8
40,16.34,23.1
41,16.35,23.5
42,16.36,23.7
43,16.37,23.9
44,16.38,24.2
45,16.39,24.7
46,16.41,25
47,16.42,25.3
48,16.43,25.6
49,16.45,25.9
50,16.47,26.5
51,16.49,26.9
52,16.5,27.3
53,16.51,27.6
54,16.52,27.9
55,16.53,28.2
56,16.55,28.8
57,16.57,29.3
58,16.6,29.9
59,16.62,30.7
60,16.64,31.1
61,16.65,31.6
62,16.67,32
63,16.69,31.9
64,16.72,31.5
65,16.76,31.3
66,16.81,31.1
67,16.86,31.1
68,16.92,31.1
69,16.97,31.2
70,17.03,31.3
71,17.08,31.4
72,17.11,31.5
73,17.14,31.6
74,17.16,31.6
75,17.17,31.6
76,17.17,31.5
77,17.18,31.4
78,17.18,31.5
79,17.19,31.7
80,17.2,31.9
81,17.2,32.1
82,17.21,32.3
83,17.22,32.5
84,17.23,32.7
85,17.25,32.8
86,17.26,33
87,17.28,33.1
88,17.31,33.2
89,17.33,33.2
90,17.35,33.3
91,17.39,33.4
92,17.4,33.5
93,17.42,33.6
94,17.44,33.6
95,17.47,33.7
96,17.49,33.8
97,17.51,33.9
98,17.53,34
99,17.54,34
100,17.55,34.1
101,17.57,34.2
102,17.58,34.4
103,17.6,34.5
104,17.61,34.5
105,17.62,34.7
106,17.64,34.8
107,17.66,35
108,17.68,35
109,17.69,35.1
110,17.7,35.1
111,17.72,35.1
112,17.73,35.2
113,17.74,35.3
114,17.75,35.4
115,17.76,35.5
116,17.77,35.5
117,17.78,35.6
118,17.8,35.8
119,17.82,35.9
120,17.84,36.1
121,17.86,36.1
122,17.88,36.1
123,17.9,36.1
124,17.92,36.2
125,17.94,36.2
126,17.95,36.3
127,17.96,36.4
128,17.99,36.5
129,18.01,36.6
130,18.02,36.7
131,18.04,36.8
132,18.06,36.9
133,18.08,37
134,18.1,37
135,18.11,37.1
136,18.13,37.1
137,18.14,37.3
138,18.17,37.4
139,18.18,37.4
140,18.2,37.5
141,18.22,37.6
142,18.23,37.6
143,18.25,37.7
144,18.26,37.8
145,18.28,37.8
146,18.29,37.9
147,18.3,38
148,18.32,38.1
149,18.33,38.1
150,18.33,38.1
151,18.35,38.1
152,18.36,38.3
153,18.37,38.4
154,18.38,38.5
155,18.39,38.6
156,18.4,38.6
157,18.41,38.6
158,18.42,38.7
159,18.43,38.7
160,18.43,38.8
161,18.44,38.8
162,18.44,38.8
163,18.45,38.8
164,18.45,38.9
165,18.45,38.8
166,18.45,38.7
167,18.45,38.6
168,18.45,38.6
169,18.45,38.6
170,18.45,38.6
171,18.45,38.6
172,18.45,38.5
173,18.45,38.6
174,18.46,38.7
175,18.46,38.9
176,18.46,39
177,18.46,39
178,18.46,39.1
179,18.46,39.2
180,18.46,39.3
181,18.46,39.3
182,18.46,39.3
183,18.46,39.4
184,18.46,39.4
185,18.46,39.4
186,18.47,39.5
187,18.47,39.5
188,18.47,39.6
189,18.47,39.7
190,18.47,39.6
191,18.47,39.7
192,18.47,39.7
193,18.47,39.7
194,18.47,39.6
195,18.47,39.5
