,angle,torque
0,13.93,14.7
1,13.88,16.4
2,13.81,18.1
3,13.71,21.1
4,13.6,25.2
5,13.49,28.1
6,13.42,31.4
7,13.36,34.4
8,13.33,36.1
9,13.31,37.1
10,13.28,37.7
11,13.27,38.5
12,13.25,39.0
13,13.21,40.3
14,13.18,41.1
15,13.13,43.0
16,13.08,44.5
17,13.03,46.9
18,12.99,48.4
19,12.96,49.9
20,12.93,51.3
21,12.91,52.1
22,12.88,53.1
23,12.86,53.9
24,12.84,54.9
25,12.83,55.3
26,12.81,55.9
27,12.79,56.6
28,12.78,57.4
29,12.76,58.1
30,12.75,58.6
31,12.74,58.9
32,12.73,59.3
33,12.73,59.6
34,12.72,59.8
35,12.72,60.2
36,12.71,60.6
37,12.7,60.8
38,12.69,61.3
39,12.68,61.7
40,12.67,62.4
41,12.66,62.9
42,12.65,63.3
43,12.64,63.7
44,12.63,64.0
45,12.62,64.5
46,12.61,64.7
47,12.6,65.3
48,12.58,66.4
49,12.56,67.0
50,12.55,67.5
51,12.53,68.2
52,12.52,68.7
53,12.51,69.5
54,12.49,70.1
55,12.47,70.9
56,12.46,71.4
57,12.45,71.9
58,12.43,72.3
59,12.42,72.7
60,12.41,73.2
61,12.4,73.4
62,12.38,73.8
63,12.37,74.0
64,12.37,74.5
65,12.35,75.0
66,12.34,75.4
67,12.32,76.0
68,12.31,76.3
69,12.3,76.8
70,12.29,77.1
71,12.28,77.4
72,12.27,77.8
73,12.26,78.1
74,12.26,78.5
75,12.25,78.7
76,12.24,78.9
77,12.24,79.1
78,12.23,79.3
79,12.23,79.4
80,12.23,79.9
81,12.23,80.1
82,12.22,80.4
83,12.21,80.6
84,12.21,80.7
85,12.2,81.0
86,12.2,81.1
87,12.19,81.4
88,12.19,81.7
89,12.18,82.0
90,12.18,82.2
91,12.18,82.3
92,12.18,82.3
93,12.18,82.3
94,12.17,82.4
95,12.17,82.6
96,12.16,83.0
97,12.16,83.3
98,12.15,83.7
99,12.14,84.0
100,12.14,84.3
101,12.13,84.5
102,12.13,84.6
103,12.12,84.8
104,12.11,85.2
105,12.1,86.0
106,12.09,86.4
107,12.08,86.7
108,12.08,86.8
109,12.07,87.0
110,12.06,87.3
111,12.06,87.5
112,12.06,87.5
113,12.05,87.4
114,12.05,87.9
115,12.03,88.3
116,12.03,88.9
117,12.02,89.3
118,12.01,89.4
119,12.01,89.7
120,12.0,89.9
121,11.98,90.8
122,11.97,91.0
123,11.96,91.4
124,11.96,91.5
125,11.95,91.8
126,11.94,92.1
127,11.94,92.1
128,11.94,91.9
129,11.94,91.8
130,11.93,92.0
131,11.91,92.7
132,11.91,93.2
133,11.91,93.5
134,11.91,93.5
135,11.9,93.7
136,11.9,94.0
137,11.89,94.0
138,11.89,94.1
139,11.88,94.2
140,11.87,94.7
141,11.86,95.3
142,11.86,95.5
143,11.86,95.4
144,11.86,95.3
145,11.86,95.2
146,11.86,95.3
147,11.86,95.3
148,11.87,94.9
149,11.89,93.6
150,11.91,92.1
151,11.94,89.1
152,11.98,86.6
153,12.03,82.2
154,12.07,79.1
155,12.12,75.5
156,12.18,70.9
157,12.29,64.7
158,12.33,62.5
159,12.41,58.0
160,12.5,54.2
161,12.61,50.2
162,12.72,46.7
163,12.85,41.3
164,12.98,36.6
165,13.11,32.1
166,13.21,29.2
167,13.38,24.5
168,13.52,21.6
169,13.62,18.7
170,13.79,15.5
171,13.89,13.7
172,14.01,11.1
173,14.12,9.6
174,14.22,7.8
175,14.32,6.6
176,14.39,5.3
177,14.48,4.5
178,14.58,3.4
179,14.64,2.7
180,14.72,2.3
181,14.81,1.8
182,14.87,1.6
183,14.93,1.2
184,15.0,1.0
185,15.04,0.7
186,15.1,0.5
187,15.13,0.4
188,15.18,0.3
189,15.22,0.2
190,15.26,0.2
191,15.31,0.2
192,15.34,0.2
193,15.38,0.2
194,15.42,0.2
195,15.46,0.2
196,15.49,0.2
197,15.53,0.2
198,15.56,0.2
199,15.6,0.3
200,15.64,0.3
201,15.68,0.3
202,15.74,0.3
203,15.77,0.3
204,15.82,0.3
205,15.86,0.3
206,15.89,0.3
207,15.92,0.3
208,15.96,0.3
209,15.98,0.3
210,16.0,0.3
211,16.01,0.3
212,16.01,0.3
213,16.02,0.3
214,16.02,0.3
215,16.03,0.4
216,16.03,0.4
217,16.03,0.4
218,16.03,0.4
219,16.03,0.4
220,16.03,0.4
221,16.03,0.4
222,16.03,0.4
223,16.02,0.5
224,16.01,0.5
225,16.01,0.6
226,16.0,0.6
227,16.0,0.6
228,16.0,0.6
229,15.99,0.7
230,15.99,0.7
231,15.99,0.7
232,15.99,0.7
233,15.99,0.7
234,16.0,0.6
235,16.0,0.6
236,16.0,0.6
237,15.99,0.6
238,15.39,1.0
239,15.38,1.0
240,15.38,1.0
241,15.38,1.0
242,15.38,1.0
243,15.37,1.0
244,15.37,1.0
245,15.37,1.0
246,15.37,1.0
247,15.37,1.0
248,15.37,1.0
249,15.37,1.0
250,15.35,1.1
251,15.35,1.1
252,15.32,1.1
253,15.32,1.1
254,15.32,1.1
255,15.32,1.1
256,15.32,1.1
257,15.32,1.1
258,15.32,1.1
259,15.32,1.0
260,15.32,1.0
261,15.32,1.0
262,15.32,1.0
263,15.31,1.0
264,15.31,1.0
265,15.31,1.0
266,15.31,1.0
267,15.31,1.0
268,15.31,1.1
269,15.31,1.1
270,15.31,1.1
271,15.31,1.1
272,15.31,1.1
273,15.31,1.1
274,15.31,1.0
