,angle,torque
0,6.0,12.6
1,6.02,12.8
2,6.04,13.2
3,6.06,13.4
4,6.07,13.6
5,6.07,13.7
6,6.08,13.7
7,6.08,13.6
8,6.08,13.9
9,6.11,14.4
10,6.11,14.7
11,6.12,15.2
12,6.13,15.4
13,6.14,15.6
14,6.16,15.9
15,6.19,16.6
16,6.24,17.4
17,6.27,18.6
18,6.31,19.4
19,6.35,20.0
20,6.37,20.4
21,6.39,20.5
22,6.41,20.8
23,6.42,21.1
24,6.44,21.6
25,6.46,22.1
26,6.47,22.7
27,6.48,23.1
28,6.5,23.4
29,6.51,23.6
30,6.53,23.8
31,6.54,24.0
32,6.56,24.5
33,6.58,24.7
34,6.59,25.0
35,6.61,25.3
36,6.63,25.6
37,6.65,25.9
38,6.67,26.3
39,6.7,27.1
40,6.72,27.6
41,6.75,28.6
42,6.76,28.9
43,6.78,29.3
44,6.79,29.6
45,6.8,29.9
46,6.81,30.0
47,6.82,30.2
48,6.83,30.7
49,6.85,31.1
50,6.87,31.8
51,6.89,32.3
52,6.9,32.9
53,6.91,33.4
54,6.93,33.9
55,6.95,34.3
56,6.97,34.9
57,6.99,35.9
58,7.01,36.5
59,7.03,37.4
60,7.05,38.1
61,7.06,38.4
62,7.07,39.0
63,7.09,39.7
64,7.1,40.4
65,7.12,41.1
66,7.12,41.4
67,7.12,41.5
68,7.13,41.5
69,7.13,41.5
70,7.13,41.6
71,7.13,41.6
72,7.13,41.5
73,7.13,41.5
74,7.13,41.6
75,7.14,41.9
76,7.14,42.0
77,7.14,42.2
78,7.14,42.2
79,7.14,42.0
80,7.14,41.5
81,7.14,40.8
82,7.14,40.6
83,7.14,40.4
84,7.14,40.2
85,7.14,40.0
86,7.14,39.9
87,7.14,40.0
88,7.14,40.1
89,7.14,40.2
90,7.14,40.1
91,7.14,39.8
92,7.14,39.4
93,7.14,39.0
94,7.14,38.9
95,7.14,38.9
96,7.14,39.0
97,7.14,39.1
98,7.15,39.2
99,7.15,39.4
100,7.15,39.6
101,7.15,39.7
102,7.15,39.8
103,7.15,39.8
104,7.15,39.9
105,7.15,40.1
106,7.16,40.3
107,7.16,40.4
108,7.17,40.6
109,7.18,40.9
110,7.19,41.3
111,7.21,42.0
112,7.23,42.6
113,7.24,43.3
114,7.26,43.7
115,7.27,44.3
116,7.28,44.8
117,7.28,45.2
118,7.29,45.4
119,7.3,45.6
120,7.31,46.0
121,7.32,46.6
122,7.34,47.1
123,7.35,47.5
124,7.36,48.1
125,7.37,48.4
126,7.37,48.7
127,7.38,49.2
128,7.4,49.7
129,7.41,50.0
130,7.41,50.4
131,7.42,50.6
132,7.43,50.8
133,7.44,51.3
134,7.45,51.7
135,7.46,52.1
136,7.46,52.3
137,7.47,52.7
138,7.48,53.0
139,7.49,53.3
140,7.49,53.4
141,7.5,53.6
142,7.51,53.8
143,7.52,54.2
144,7.53,54.5
145,7.54,54.8
146,7.55,55.4
147,7.57,55.9
148,7.59,56.7
149,7.6,57.0
150,7.6,57.3
151,7.6,57.3
152,7.6,57.1
153,7.6,57.0
154,7.6,57.1
155,7.6,57.3
156,7.61,57.7
157,7.61,57.8
158,7.61,58.0
159,7.62,58.3
160,7.63,58.7
161,7.63,59.3
162,7.64,59.6
163,7.64,59.9
164,7.65,60.2
165,7.67,60.6
166,7.68,61.2
167,7.68,61.5
168,7.68,61.7
169,7.68,61.8
170,7.69,62.1
171,7.7,62.4
172,7.7,62.9
173,7.71,63.4
174,7.72,63.7
175,7.73,64.1
176,7.73,64.2
177,7.74,64.4
178,7.74,64.5
179,7.74,64.8
180,7.75,65.2
181,7.76,65.9
182,7.77,66.3
183,7.78,66.6
184,7.78,66.6
185,7.78,66.7
186,7.8,67.0
187,7.81,67.5
188,7.82,68.2
189,7.83,68.6
190,7.84,69.1
191,7.85,69.4
192,7.86,69.8
193,7.87,70.2
194,7.89,70.6
195,7.9,71.4
196,7.91,71.8
197,7.92,72.1
198,7.92,72.2
199,7.93,72.5
200,7.94,72.9
201,7.95,73.5
202,7.96,74.1
203,7.96,74.3
204,7.97,74.5
205,7.98,74.7
206,7.99,75.3
207,8.0,75.7
208,8.0,76.0
209,8.01,76.2
210,8.01,76.6
211,8.02,76.8
212,8.03,77.1
213,8.03,77.3
214,8.04,77.7
215,8.04,78.1
216,8.05,78.3
217,8.06,78.7
218,8.07,79.0
219,8.07,79.3
220,8.08,79.4
221,8.08,79.3
222,8.08,79.3
223,8.08,79.5
224,8.09,79.9
225,8.1,80.3
226,8.1,80.5
227,8.1,80.4
228,8.11,80.5
229,8.12,81.1
230,8.13,81.7
231,8.14,82.4
232,8.15,82.5
233,8.16,82.6
234,8.18,82.9
235,8.2,82.8
236,8.24,81.0
237,8.33,79.8
238,8.44,79.3
239,8.58,78.3
240,8.73,77.8
241,8.82,78.3
242,8.9,78.8
243,8.91,78.6
244,8.88,77.1
245,8.86,74.6
246,8.86,73.1
247,8.88,73.9
248,8.91,75.7
249,8.94,78.5
250,8.95,79.4
251,8.96,79.8
252,8.96,79.9
253,8.97,80.3
254,8.98,80.5
255,8.98,80.3
256,8.97,79.7
257,8.96,79.3
258,8.95,78.7
259,8.94,78.1
260,8.94,77.3
261,8.94,76.9
262,8.94,76.7
263,8.93,76.0
264,8.92,75.4
265,8.91,74.2
266,8.9,73.4
267,8.9,72.9
268,8.9,72.8
269,8.9,72.9
270,8.9,72.8
271,8.9,72.3
272,8.89,71.6
273,8.88,71.0
274,8.87,70.5
275,8.86,69.6
276,8.85,68.6
277,8.84,67.8
278,8.82,66.5
279,8.81,65.5
280,8.79,64.0
281,8.77,63.2
282,8.76,62.3
283,8.74,60.7
284,8.7,58.8
285,8.67,56.6
286,8.63,54.6
287,8.58,51.5
288,8.54,49.1
289,8.48,47.1
290,8.42,43.8
291,8.35,41.5
292,8.28,38.0
293,8.2,35.5
294,8.14,32.0
295,8.05,29.2
296,7.95,26.1
297,7.85,23.7
298,7.76,21.1
299,7.63,17.0
300,7.54,15.4
301,7.46,13.1
302,7.38,11.7
303,7.31,9.8
304,7.24,8.8
305,7.18,7.6
306,7.11,6.4
307,7.04,5.7
308,6.95,4.4
309,6.9,4.0
310,6.84,3.2
311,6.78,2.7
312,6.72,2.1
313,6.65,1.6
314,6.6,1.4
315,6.55,1.1
316,6.49,0.9
317,6.43,0.7
318,6.37,0.6
319,6.28,0.6
320,6.18,0.5
321,6.1,0.4
322,5.97,0.3
323,5.84,0.3
324,5.71,0.3
325,5.57,0.3
326,5.43,0.2
327,5.23,0.2
