,angle,torque
0,1.3,9.9
1,1.32,10.0
2,1.34,10.2
3,1.36,10.4
4,1.38,10.5
5,1.41,10.7
6,1.42,10.9
7,1.45,11.2
8,1.58,12.3
9,1.62,12.6
10,1.64,12.8
11,1.66,13.0
12,1.68,13.2
13,1.69,13.3
14,1.71,13.5
15,1.72,13.6
16,1.73,13.7
17,1.74,13.8
18,1.75,13.9
19,1.76,14.0
20,1.77,14.2
21,1.78,14.3
22,1.79,14.5
23,1.8,14.6
24,1.81,14.8
25,1.83,14.9
26,1.85,15.1
27,1.86,15.3
28,1.89,15.6
29,1.91,15.9
30,1.93,16.2
31,1.95,16.5
32,1.96,16.7
33,1.98,17.1
34,1.99,17.2
35,2.0,17.4
36,2.0,17.5
37,2.01,17.6
38,2.02,17.7
39,2.02,17.7
40,2.03,17.9
41,2.05,18.2
42,2.08,18.7
43,2.09,18.9
44,2.11,19.3
45,2.13,19.5
46,2.14,19.6
47,2.14,19.7
48,2.15,19.8
49,2.15,19.8
50,2.15,19.9
51,2.15,19.9
52,2.15,19.9
53,2.15,19.9
54,2.15,19.9
55,2.15,20.0
56,2.15,20.1
57,2.16,20.1
58,2.16,20.2
59,2.16,20.3
60,2.17,20.4
61,2.17,20.6
62,2.17,20.7
63,2.18,20.8
64,2.18,21.0
65,2.19,21.1
66,2.19,21.3
67,2.2,21.4
68,2.21,21.6
69,2.22,21.8
70,2.23,22.0
71,2.24,22.3
72,2.25,22.4
73,2.26,22.6
74,2.28,22.9
75,2.28,23.0
76,2.3,23.2
77,2.31,23.5
78,2.32,23.7
79,2.33,23.9
80,2.34,24.0
81,2.35,24.2
82,2.36,24.5
83,2.36,24.6
84,2.37,24.8
85,2.38,25.0
86,2.38,25.1
87,2.39,25.3
88,2.4,25.6
89,2.41,25.8
90,2.42,25.9
91,2.42,26.1
92,2.43,26.2
93,2.43,26.4
94,2.44,26.6
95,2.44,26.7
96,2.44,26.9
97,2.44,27.0
98,2.44,27.1
99,2.45,27.2
100,2.46,27.4
101,2.46,27.7
102,2.47,27.8
103,2.47,28.0
104,2.48,28.1
105,2.49,28.2
106,2.49,28.3
107,2.49,28.4
108,2.49,28.5
109,2.49,28.7
110,2.49,28.8
111,2.5,29.0
112,2.51,29.1
113,2.51,29.2
114,2.52,29.3
115,2.52,29.5
116,2.53,29.6
117,2.53,29.7
118,2.54,29.8
119,2.54,29.8
120,2.54,29.9
121,2.54,29.9
122,2.54,30.0
123,2.54,30.0
124,2.54,30.1
125,2.54,30.1
126,2.54,30.2
127,2.54,30.2
128,2.54,30.3
129,2.54,30.3
130,2.54,30.3
131,2.54,30.4
132,2.55,30.4
133,2.55,30.5
134,2.55,30.6
135,2.55,30.7
136,2.55,30.8
137,2.56,30.9
138,2.56,31.0
139,2.57,31.1
140,2.57,31.2
141,2.57,31.4
142,2.57,31.5
143,2.58,31.8
144,2.58,31.9
145,2.59,32.2
146,2.59,32.3
147,2.6,32.6
148,2.6,32.7
149,2.6,32.9
150,2.6,33.0
151,2.61,33.2
152,2.62,33.4
153,2.62,33.6
154,2.63,33.8
155,2.63,34.0
156,2.63,34.2
157,2.64,34.3
158,2.65,34.5
159,2.65,34.7
160,2.66,34.9
161,2.66,35.1
162,2.67,35.2
163,2.67,35.4
164,2.68,35.5
165,2.68,35.7
166,2.68,35.7
167,2.68,35.8
168,2.68,35.8
169,2.68,35.8
170,2.68,35.9
171,2.69,36.0
172,2.69,36.3
173,2.69,36.4
174,2.7,36.5
175,2.7,36.5
176,2.7,36.6
177,2.7,36.8
178,2.7,37.0
179,2.7,37.1
180,2.7,37.2
181,2.71,37.4
182,2.71,37.5
183,2.72,37.7
184,2.72,37.8
185,2.73,38.2
186,2.73,38.3
187,2.74,38.5
188,2.74,38.6
189,2.74,38.7
190,2.75,38.8
191,2.75,39.0
192,2.76,39.3
193,2.76,39.4
194,2.77,39.6
195,2.77,39.7
196,2.77,39.8
197,2.78,40.0
198,2.78,40.2
199,2.78,40.4
200,2.78,40.4
201,2.78,40.5
202,2.78,40.6
203,2.79,40.9
204,2.8,41.2
205,2.81,41.6
206,2.82,42.0
207,2.83,42.2
208,2.84,42.4
209,2.84,42.6
210,2.85,42.8
211,2.86,43.1
212,2.87,43.4
213,2.87,43.5
214,2.88,43.7
215,2.88,43.9
216,2.89,44.0
217,2.9,44.3
218,2.91,44.5
219,2.92,44.7
220,2.92,45.0
221,2.92,45.2
222,2.93,45.3
223,2.93,45.4
224,2.93,45.5
225,2.94,45.6
226,2.94,45.8
227,2.94,45.9
228,2.95,46.2
229,2.95,46.4
230,2.96,46.7
231,2.97,46.9
232,2.98,47.2
233,2.99,47.6
234,3.0,47.8
235,3.02,48.3
236,3.03,48.8
