,angle,torque
0,34.52,12.6
1,34.54,13.0
2,34.55,13.4
3,34.56,13.6
4,34.61,14.8
5,34.63,15.1
6,34.64,15.4
7,34.66,16.0
8,34.68,16.3
9,34.7,16.8
10,34.72,17.3
11,34.74,17.6
12,34.76,18.1
13,34.77,18.5
14,34.79,18.9
15,34.8,19.2
16,34.82,19.7
17,34.83,20.0
18,34.85,20.3
19,34.86,20.7
20,34.88,20.9
21,34.9,21.4
22,34.92,21.9
23,34.94,22.5
24,34.96,22.9
25,34.98,23.3
26,34.99,23.8
27,35.01,24.1
28,35.03,24.7
29,35.04,24.9
30,35.05,25.3
31,35.07,25.6
32,35.08,26.1
33,35.1,26.4
34,35.11,26.8
35,35.13,27.2
36,35.15,27.7
37,35.16,28.0
38,35.18,28.4
39,35.2,28.8
40,35.2,29.1
41,35.22,29.4
42,35.23,29.8
43,35.25,30.2
44,35.26,30.5
45,35.27,30.9
46,35.28,31.1
47,35.29,31.3
48,35.3,31.6
49,35.31,31.9
50,35.33,32.2
51,35.33,32.3
52,35.35,32.7
53,35.36,32.9
54,35.37,33.2
55,35.38,33.6
56,35.39,33.8
57,35.4,34.2
58,35.42,34.5
59,35.43,35.0
60,35.45,35.3
61,35.46,35.7
62,35.47,35.9
63,35.49,36.2
64,35.5,36.5
65,35.51,36.8
66,35.52,37.0
67,35.53,37.2
68,35.54,37.5
69,35.55,37.6
70,35.56,37.8
71,35.58,37.8
72,35.6,37.5
73,35.64,37.2
74,35.69,37.1
75,35.74,37.0
76,35.82,37.0
77,35.87,37.1
78,35.93,37.2
79,35.98,37.4
80,36.03,37.5
81,36.08,37.6
82,36.1,37.6
83,36.11,37.5
84,36.12,37.3
85,36.12,37.2
86,36.13,37.2
87,36.14,37.4
88,36.15,37.8
89,36.16,38.2
90,36.17,38.5
91,36.19,38.7
92,36.2,38.9
93,36.21,39.0
94,36.22,39.1
95,36.25,39.4
96,36.27,39.7
97,36.3,40.0
98,36.34,40.1
99,36.38,40.1
100,36.41,40.2
101,36.46,40.4
102,36.5,40.5
103,36.55,40.7
104,36.6,40.9
105,36.66,41.1
106,36.69,41.1
107,36.72,41.3
108,36.74,41.4
109,36.77,41.7
110,36.79,41.8
111,36.81,42.1
112,36.84,42.3
113,36.86,42.5
114,36.89,42.8
115,36.91,42.9
116,36.94,43.2
117,36.97,43.4
118,37.01,43.6
119,37.05,43.7
120,37.09,43.9
121,37.13,44.0
122,37.15,44.1
123,37.18,44.3
124,37.22,44.4
125,37.26,44.7
126,37.28,44.7
127,37.3,44.8
128,37.32,44.9
129,37.35,45.2
130,37.37,45.4
131,37.4,45.7
132,37.43,45.9
133,37.45,46.0
134,37.47,46.2
135,37.5,46.3
136,37.52,46.4
137,37.54,46.5
138,37.56,46.7
139,37.58,46.8
140,37.61,47.0
141,37.63,47.1
142,37.64,47.2
143,37.66,47.3
144,37.68,47.4
145,37.7,47.6
146,37.71,47.7
147,37.72,47.8
148,37.74,47.9
149,37.75,48.0
150,37.76,48.1
151,37.78,48.3
152,37.79,48.4
153,37.8,48.5
154,37.81,48.5
155,37.83,48.5
156,37.84,48.7
157,37.85,48.9
