,angle,torque
0,44.49,11.7
1,44.51,12.1
2,44.53,12.5
3,44.55,12.9
4,44.58,13.3
5,44.6,13.9
6,44.63,14.6
7,44.66,15.3
8,44.68,15.9
9,44.7,16.2
10,44.71,16.7
11,44.72,16.9
12,44.74,17.2
13,44.75,17.6
14,44.76,17.8
15,44.78,18.2
16,44.79,18.5
17,44.81,19.0
18,44.82,19.4
19,44.84,19.7
20,44.85,20.0
21,44.86,20.3
22,44.87,20.7
23,44.88,20.9
24,44.89,21.2
25,44.9,21.3
26,44.9,21.5
27,44.91,21.7
28,44.91,21.9
29,44.92,22.1
30,44.92,22.2
31,44.93,22.4
32,44.93,22.6
33,44.94,22.8
34,44.95,22.9
35,44.95,23.1
36,44.96,23.3
37,44.96,23.5
38,44.97,23.6
39,44.98,23.8
40,44.98,24.0
41,44.99,24.1
42,44.99,24.4
43,45.0,24.5
44,45.0,24.6
45,45.0,24.7
46,45.01,24.9
47,45.02,25.2
48,45.03,25.4
49,45.03,25.6
50,45.04,25.8
51,45.05,26.0
52,45.05,26.2
53,45.06,26.3
54,45.06,26.4
55,45.07,26.6
56,45.08,26.8
57,45.09,27.2
58,45.1,27.3
59,45.1,27.5
60,45.11,27.7
61,45.12,27.8
62,45.13,28.1
63,45.13,28.2
64,45.14,28.5
65,45.15,28.8
66,45.17,29.2
67,45.19,29.9
68,45.22,30.5
69,45.23,31.1
70,45.25,31.5
71,45.27,32.0
72,45.29,32.4
73,45.3,32.8
74,45.31,33.2
75,45.32,33.4
76,45.34,33.8
77,45.35,34.1
78,45.36,34.2
79,45.39,33.5
80,45.42,33.1
81,45.47,32.8
82,45.54,32.8
83,45.61,32.9
84,45.68,33.1
85,45.73,33.3
86,45.77,33.5
87,45.8,33.7
88,45.82,33.8
89,45.83,33.9
90,45.83,33.8
91,45.84,33.9
92,45.85,34.2
93,45.86,34.5
94,45.88,34.9
95,45.9,35.3
96,45.92,35.4
97,45.95,35.5
98,45.98,35.6
99,46.01,35.7
100,46.04,35.8
101,46.07,35.9
102,46.1,36.1
103,46.13,36.3
104,46.16,36.4
105,46.19,36.6
106,46.21,36.7
107,46.24,37.0
108,46.26,37.2
109,46.29,37.5
110,46.31,37.6
111,46.33,37.7
112,46.36,37.8
113,46.39,38.0
114,46.42,38.2
115,46.45,38.4
116,46.48,38.5
117,46.51,38.6
118,46.53,38.8
119,46.55,38.9
120,46.59,39.1
121,46.61,39.2
122,46.63,39.4
123,46.67,39.6
124,46.7,39.7
125,46.73,39.9
126,46.77,39.9
127,46.8,40.1
128,46.84,40.2
129,46.87,40.4
130,46.9,40.5
131,46.92,40.7
132,46.93,40.7
133,46.95,40.8
134,46.97,40.9
135,46.98,41.0
136,47.0,41.2
137,47.01,41.3
138,47.02,41.4
139,47.04,41.7
140,47.05,41.8
141,47.06,41.9
142,47.07,42.0
143,47.08,42.1
144,47.1,42.3
145,47.12,42.4
146,47.14,42.5
147,47.16,42.6
148,47.18,42.6
149,47.2,42.7
150,47.22,42.7
151,47.23,42.8
152,47.26,42.9
153,47.28,43.0
154,47.3,43.0
155,47.31,43.0
156,47.33,43.1
157,47.34,43.2
158,47.35,43.3
159,47.36,43.4
160,47.36,43.4
161,47.37,43.4
162,47.38,43.4
163,47.38,43.5
164,47.38,43.6
165,47.38,43.6
166,47.39,43.7
167,47.39,43.8
168,47.39,43.8
169,47.39,43.9
170,47.4,44.0
171,47.4,44.1
172,47.4,44.0
173,47.4,43.9
174,47.4,44.0
175,47.41,44.2
176,47.42,44.5
177,47.42,44.6
178,47.43,44.7
179,47.43,44.8
180,47.43,44.9
181,47.44,45.0
182,47.44,45.0
183,47.45,45.0
184,47.46,45.2
185,47.47,45.2
186,47.48,45.2
187,47.49,45.1
188,47.5,45.2
189,47.52,44.8
190,47.57,42.9
191,47.66,41.5
192,47.72,41.2
193,47.81,40.9
194,47.89,40.9
195,47.97,41.0
196,48.05,41.3
197,48.08,41.5
198,48.1,41.6
199,48.1,41.2
200,48.09,40.7
201,48.1,40.3
202,48.1,40.5
203,48.1,41.2
204,48.1,41.2
205,48.09,40.8
206,48.07,39.7
207,48.05,38.5
208,48.04,37.4
209,48.02,36.4
210,48.01,35.2
211,48.01,34.6
212,48.01,34.3
213,48.01,34.4
214,48.02,34.6
215,48.03,35.3
216,48.04,36.1
217,48.05,37.0
218,48.06,37.6
219,48.06,38.2
220,48.06,38.4
221,48.07,38.7
222,48.08,39.2
223,48.09,40.0
224,48.1,40.5
225,48.11,41.0
226,48.11,41.6
227,48.11,42.1
228,48.12,42.2
229,48.13,42.7
230,48.14,43.2
231,48.15,43.8
232,48.16,44.0
233,48.16,44.1
234,48.16,44.0
235,48.16,43.9
236,48.16,43.9
237,48.16,44.0
238,48.17,44.2
239,48.17,44.4
240,48.17,44.4
241,48.17,44.2
242,48.17,43.9
243,48.17,43.8
244,48.16,43.6
245,48.16,43.4
246,48.16,43.3
247,48.16,43.2
248,48.16,43.1
249,48.16,42.9
250,48.16,42.7
251,48.16,42.5
252,48.16,42.7
253,48.16,42.9
254,48.16,43.0
255,48.16,43.1
256,48.16,43.1
257,48.16,43.2
258,48.16,43.4
259,48.16,43.4
260,48.16,43.1
261,48.16,42.8
262,48.16,42.6
263,48.16,42.6
264,48.16,42.8
265,48.16,42.9
266,48.16,42.9
267,48.16,42.7
268,48.15,42.4
269,48.15,41.6
270,48.14,41.0
271,48.12,39.9
272,48.1,39.1
273,48.07,37.2
274,48.03,35.1
275,47.98,32.9
276,47.91,29.4
277,47.83,27.0
278,47.77,23.5
279,47.67,21.2
