,angle,torque
0,18.28,11.6
1,18.32,12.6
2,18.36,13.5
3,18.39,14.4
4,18.41,15.2
5,18.43,15.7
6,18.46,16.5
7,18.67,22.6
8,18.71,23.9
9,18.75,25.1
10,18.78,26.2
11,18.81,27.0
12,18.84,28.1
13,18.87,29.1
14,18.91,29.9
15,18.93,31.2
16,18.96,32.0
17,18.99,33.0
18,19.02,33.8
19,19.04,34.8
20,19.08,36.1
21,19.1,36.7
22,19.11,37.3
23,19.12,37.8
24,19.14,38.3
25,19.17,39.2
26,19.19,39.9
27,19.22,41.0
28,19.25,41.9
29,19.27,43.1
30,19.3,44.0
31,19.31,44.8
32,19.33,45.3
33,19.35,46.0
34,19.37,46.8
35,19.39,47.3
36,19.4,48.0
37,19.42,48.5
38,19.43,49.2
39,19.45,49.6
40,19.47,50.4
41,19.49,51.2
42,19.5,51.5
43,19.51,52.0
44,19.51,52.3
45,19.52,52.8
46,19.54,53.1
47,19.56,53.8
48,19.57,54.4
49,19.58,54.8
50,19.6,55.3
51,19.61,55.8
52,19.62,56.2
53,19.63,56.5
54,19.64,57.0
55,19.65,57.4
56,19.66,57.8
57,19.68,58.1
58,19.69,58.7
59,19.71,59.4
60,19.72,59.8
61,19.73,60.1
62,19.73,60.5
63,19.74,60.6
64,19.75,61.0
65,19.75,61.2
66,19.77,61.9
67,19.78,62.3
68,19.79,62.8
69,19.81,63.2
70,19.82,63.5
71,19.82,63.9
72,19.83,64.2
73,19.84,64.4
74,19.86,64.8
75,19.87,65.4
76,19.88,65.8
77,19.9,66.3
78,19.9,66.5
79,19.91,66.7
80,19.91,67.0
81,19.92,67.3
82,19.94,67.9
83,19.94,68.2
84,19.95,68.5
85,19.95,68.7
86,19.96,68.9
87,19.97,69.3
88,19.97,69.6
89,19.98,69.7
90,19.98,69.8
91,19.98,69.8
92,19.98,69.9
93,19.98,70.1
94,19.99,70.4
95,19.99,70.6
96,19.99,70.7
97,19.99,70.6
98,19.99,70.6
99,20.0,70.8
100,20.0,71.3
101,20.01,71.5
102,20.01,71.5
103,20.01,71.4
104,20.01,71.4
105,20.01,71.4
106,20.02,71.6
107,20.02,72.0
108,20.03,72.3
109,20.03,72.6
110,20.03,72.7
111,20.03,72.8
112,20.03,72.9
113,20.04,72.9
114,20.04,73.1
115,20.05,73.3
116,20.05,73.5
117,20.05,73.4
118,20.05,73.5
119,20.05,73.7
120,20.05,74.0
121,20.05,74.1
122,20.06,74.4
123,20.06,74.5
124,20.06,74.8
125,20.06,75.0
126,20.06,74.9
127,20.06,74.7
128,20.06,74.5
129,20.06,74.4
130,20.06,74.4
131,20.07,74.7
132,20.07,75.0
133,20.07,75.1
134,20.07,74.9
135,20.07,74.5
136,20.07,74.6
137,20.08,75.3
138,20.08,75.5
139,20.08,75.6
140,20.08,75.4
141,20.08,75.2
142,20.08,75.2
143,20.09,75.5
144,20.1,76.0
145,20.1,76.4
146,20.1,76.6
147,20.1,76.8
148,20.11,76.9
149,20.11,77.0
150,20.11,77.0
151,20.11,77.0
152,20.12,77.2
153,20.13,77.8
154,20.15,78.4
155,20.17,79.2
156,20.17,79.5
157,20.18,79.6
158,20.19,79.4
159,20.21,79.1
160,20.24,78.9
161,20.27,78.7
162,20.33,77.9
163,20.37,77.5
164,20.44,77.3
165,20.52,77.4
166,20.59,77.7
167,20.65,77.9
168,20.7,78.3
169,20.73,78.6
170,20.76,78.8
171,20.77,78.8
172,20.79,79.1
173,20.82,79.8
174,20.83,80.1
175,20.86,81.0
176,20.9,81.4
177,20.93,81.6
178,21.0,81.8
179,21.04,81.9
180,21.1,82.0
181,21.17,82.2
182,21.25,82.5
183,21.35,82.9
184,21.39,83.1
185,21.47,83.4
186,21.52,83.7
187,21.58,84.3
188,21.64,84.7
189,21.71,85.4
190,21.78,85.8
191,21.86,86.2
192,21.95,86.5
193,22.04,86.9
194,22.1,87.3
195,22.18,87.7
196,22.26,88.2
197,22.32,88.7
198,22.39,89.2
199,22.45,89.7
200,22.5,90.1
201,22.52,90.1
202,22.52,89.7
203,22.5,88.1
204,22.45,85.3
205,22.41,81.1
206,22.34,77.0
207,22.25,69.0
208,22.2,65.8
209,22.08,59.8
210,22.03,58.1
211,21.91,52.9
212,21.76,47.6
213,21.6,40.9
214,21.44,36.6
215,21.29,30.8
216,21.14,27.5
217,21.03,23.9
218,20.89,19.8
219,20.7,16.6
220,20.51,12.7
221,20.38,10.3
222,20.28,8.3
223,20.16,6.9
224,20.03,5.2
225,19.95,4.2
226,19.86,3.5
227,19.77,2.7
228,19.68,2.1
229,19.59,1.3
230,19.53,1.0
231,19.45,0.6
232,19.36,0.4
233,19.31,0.4
234,19.23,0.4
235,19.18,0.4
236,19.13,0.5
237,19.08,0.5
238,19.02,0.4
239,18.97,0.4
240,18.92,0.4
241,18.87,0.4
242,18.81,0.4
243,18.75,0.4
244,18.7,0.4
245,18.65,0.4
246,18.6,0.4
247,18.57,0.4
248,18.55,0.4
249,18.52,0.4
250,18.51,0.4
251,18.49,0.4
252,18.49,0.4
253,18.48,0.4
254,18.47,0.4
255,18.46,0.4
256,18.45,0.4
257,18.45,0.4
258,18.44,0.4
259,18.44,0.4
260,18.44,0.5
261,18.44,0.5
262,18.44,0.5
263,18.45,0.6
264,18.45,0.6
265,18.46,0.6
266,18.47,0.6
267,18.48,0.6
268,18.49,0.7
269,18.51,0.7
270,18.52,0.7
271,18.53,0.7
272,18.54,0.8
273,18.56,0.8
274,18.58,0.8
275,18.6,0.8
276,18.63,0.8
277,18.64,0.8
278,18.67,0.8
279,18.69,0.8
280,18.72,0.8
281,18.74,0.8
282,18.77,0.8
283,18.79,0.8
284,18.81,0.8
285,18.82,0.9
286,18.85,0.9
287,19.36,1.4
288,19.36,1.4
289,19.36,1.4
290,19.36,1.4
291,19.36,1.4
292,19.36,1.3
293,19.36,1.3
294,19.36,1.3
295,19.36,1.3
296,19.36,1.3
297,19.36,1.3
298,19.36,1.3
299,19.36,1.3
300,19.36,1.3
301,19.36,1.3
302,19.36,1.3
303,19.36,1.4
304,19.36,1.4
305,19.36,1.4
306,19.36,1.5
307,19.36,1.5
308,19.36,1.4
309,19.36,1.4
310,19.36,1.4
311,19.36,1.4
312,19.36,1.4
313,19.36,1.4
314,19.36,1.4
315,19.36,1.4
