,angle,torque
0,9.49,9.0
1,9.5,9.2
2,9.52,9.4
3,9.53,9.5
4,9.54,9.6
5,9.55,9.7
6,9.56,9.9
7,9.57,10.0
8,9.58,10.2
9,9.59,10.4
10,9.6,10.5
11,9.62,10.6
12,9.65,11.2
13,9.67,11.3
14,9.71,12.0
15,9.74,12.6
16,9.78,13.1
17,9.81,13.7
18,9.84,14.3
19,9.87,15.0
20,9.9,15.5
21,9.92,16.3
22,9.95,17.1
23,9.99,17.8
24,10.01,18.4
25,10.04,19.0
26,10.05,19.5
27,10.07,20.0
28,10.1,20.5
29,10.13,21.3
30,10.17,22.1
31,10.19,22.9
32,10.22,23.8
33,10.25,24.6
34,10.28,25.1
35,10.29,25.6
36,10.32,26.3
37,10.34,26.6
38,10.35,27.0
39,10.36,27.1
40,10.38,27.4
41,10.39,27.6
42,10.4,28.1
43,10.42,28.5
44,10.43,28.8
45,10.44,29.2
46,10.46,29.3
47,10.47,29.6
48,10.49,30.1
49,10.5,30.4
50,10.51,30.7
51,10.52,31.1
52,10.53,31.3
53,10.54,31.7
54,10.55,32.0
55,10.57,32.4
56,10.58,32.7
57,10.59,33.1
58,10.6,33.3
59,10.61,33.4
60,10.62,33.7
61,10.63,34.4
62,10.64,34.7
63,10.65,34.9
64,10.66,35.4
65,10.67,35.8
66,10.68,36.0
67,10.69,36.8
68,10.7,37.5
69,10.71,37.9
70,10.72,38.4
71,10.73,38.9
72,10.74,39.5
73,10.75,39.7
74,10.76,40.3
75,10.77,40.5
76,10.78,40.9
77,10.79,41.3
78,10.8,41.8
79,10.81,42.2
80,10.82,42.7
81,10.83,43.7
82,10.84,44.3
83,10.85,45.3
84,10.86,45.8
85,10.87,46.4
86,10.88,47.0
87,10.89,47.9
88,10.9,48.3
89,10.91,48.9
90,10.92,49.1
91,10.93,49.6
92,10.94,50.1
93,10.96,50.6
94,10.97,51.3
95,10.99,51.8
96,11.0,52.1
97,11.01,52.5
98,11.02,52.8
99,11.03,53.2
100,11.04,53.5
101,11.05,54.1
102,11.06,54.3
103,11.07,54.5
104,11.08,54.9
105,11.09,55.1
106,11.1,55.5
107,11.11,56.1
108,11.12,56.4
109,11.13,57.0
110,11.14,57.1
111,11.15,57.8
112,11.16,58.2
113,11.17,58.4
114,11.18,58.9
115,11.19,59.6
116,11.2,59.9
117,11.22,60.7
118,11.23,60.9
119,11.24,61.4
120,11.25,61.8
121,11.26,62.0
122,11.27,61.9
123,11.28,61.5
124,11.31,60.9
125,11.35,60.0
126,11.4,58.8
127,11.48,58.0
128,11.57,57.6
129,11.66,57.4
130,11.72,57.5
131,11.79,57.6
132,11.85,57.8
133,11.88,57.8
134,11.89,57.8
135,11.9,57.7
136,11.91,57.9
137,11.93,58.4
138,11.94,59.4
139,11.98,60.4
140,12.0,60.7
141,12.03,60.7
142,12.06,60.7
143,12.11,60.8
144,12.14,60.9
145,12.17,61.0
146,12.2,61.1
147,12.23,61.2
148,12.25,61.3
149,12.27,61.5
150,12.29,61.7
151,12.3,61.8
152,12.31,62.0
153,12.32,62.3
154,12.34,62.6
155,12.35,62.9
156,12.36,63.1
157,12.37,63.2
158,12.38,63.6
159,12.39,63.8
160,12.4,64.0
161,12.41,64.0
162,12.42,64.1
163,12.43,64.6
164,12.44,64.9
165,12.45,64.8
166,12.46,65.2
167,12.47,65.4
168,12.48,65.9
169,12.49,66.6
170,12.5,66.1
171,12.51,66.4
172,12.52,66.9
173,12.53,67.1
174,12.54,67.3
175,12.55,67.0
176,12.56,67.2
177,12.57,67.3
178,12.58,67.5
179,12.59,66.9
180,12.6,67.5
181,12.61,67.9
182,13.71,0.1
183,14.15,0.1
184,14.74,0.1
185,15.33,0.1
186,16.2,0.1
187,16.48,0.1
188,17.01,0.1
189,17.5,0.1
190,17.96,0.1
191,18.41,0.1
192,18.83,0.1
193,19.23,0.1
194,19.5,0.1
195,19.92,0.1
