,angle,torque
0,56.91,9.7
1,56.92,9.5
2,56.97,11.0
3,57.04,12.3
4,57.09,14.3
5,57.17,15.8
6,57.25,18.0
7,57.3,19.3
8,57.34,20.4
9,57.35,21.1
10,57.37,21.2
11,57.4,22.1
12,57.44,23.8
13,57.48,25.0
14,57.51,26.2
15,57.54,27.1
16,57.56,27.6
17,57.57,28.3
18,57.6,29.1
19,57.62,29.7
20,57.64,30.5
21,57.67,30.9
22,57.69,31.6
23,57.71,32.1
24,57.74,32.9
25,57.76,33.5
26,57.79,34.4
27,57.81,35.6
28,57.84,36.3
29,57.86,36.9
30,57.87,37.3
31,57.89,37.6
32,57.9,37.9
33,57.91,38.1
34,57.92,38.1
35,57.93,38.3
36,57.94,38.7
37,57.95,39.0
38,57.96,39.0
39,57.97,39.2
40,57.98,39.8
41,57.99,40.0
42,58.0,40.4
43,58.02,41.0
44,58.04,41.7
45,58.06,42.7
46,58.09,43.4
47,58.11,44.4
48,58.12,44.9
49,58.15,45.5
50,58.16,46.1
51,58.18,46.7
52,58.2,47.2
53,58.23,46.4
54,58.3,44.1
55,58.41,43.3
56,58.54,43.1
57,58.65,43.2
58,58.81,43.4
59,58.95,43.9
60,59.08,44.4
61,59.18,45.0
62,59.26,45.5
63,59.31,46.0
64,59.33,46.3
65,59.34,46.5
66,59.35,46.6
67,59.36,46.8
68,59.37,47.3
69,59.39,48.1
70,59.43,49.1
71,59.44,49.2
72,59.47,49.4
73,59.5,49.5
74,59.54,49.6
75,59.58,49.7
76,59.63,49.8
77,59.68,49.9
78,59.74,50.1
79,59.81,50.4
80,59.85,50.8
81,59.9,51.0
82,59.94,51.3
83,59.97,51.5
84,60.01,51.8
85,60.03,52.2
86,60.05,52.4
87,60.07,52.7
88,60.09,53.0
89,60.11,53.5
90,60.12,53.8
91,60.14,54.2
92,60.18,54.5
93,60.21,54.7
94,60.23,54.7
95,60.27,54.6
96,60.32,54.5
97,60.36,54.6
98,60.4,54.7
99,60.45,54.8
100,60.5,54.9
101,60.54,55.1
102,60.61,55.4
103,60.63,55.5
104,60.66,55.8
105,60.68,56.0
106,60.7,56.3
107,60.73,56.5
108,60.74,56.8
109,60.75,57.0
110,60.76,57.2
111,60.77,57.4
112,60.78,57.6
113,60.79,57.9
114,60.8,58.2
115,60.81,58.6
116,60.82,58.8
117,60.83,59.1
118,60.84,59.5
119,60.86,59.8
120,60.87,59.7
121,60.88,59.9
122,60.89,60.9
123,60.9,61.1
124,60.91,61.4
125,60.92,62.0
126,60.93,62.2
127,60.94,62.4
128,60.95,62.6
129,60.96,62.6
130,60.97,62.7
131,60.98,62.7
132,61.0,62.8
133,61.02,61.5
134,61.06,60.2
135,61.12,59.2
136,61.19,58.8
137,61.28,58.4
138,61.38,58.2
139,61.47,58.2
140,61.56,58.4
141,61.63,58.6
142,61.71,59.0
143,61.77,59.3
144,61.82,59.8
145,61.86,60.1
146,61.89,60.6
147,61.92,61.1
148,61.95,61.5
149,61.97,62.0
150,62.01,62.7
151,62.05,63.2
152,62.07,63.3
153,62.1,63.6
154,62.13,63.8
155,62.18,63.9
156,62.22,63.8
157,62.27,63.8
158,62.31,64.0
159,62.36,64.1
160,62.41,64.3
161,62.46,64.4
162,62.49,64.5
163,62.51,64.8
164,62.53,65.0
165,62.56,65.4
166,62.57,65.7
167,62.58,65.9
168,62.59,66.0
169,62.6,66.2
170,62.62,66.8
171,62.64,67.5
172,62.65,67.7
173,62.66,68.1
174,62.67,68.1
175,62.68,68.7
176,62.69,69.2
177,62.7,69.3
178,62.71,69.8
179,62.72,69.8
180,62.73,70.5
181,62.75,71.3
182,62.77,72.3
183,62.78,72.7
184,62.79,72.8
185,62.8,72.8
186,62.83,70.9
187,62.91,67.8
188,63.02,67.0
189,63.14,66.5
190,63.26,66.3
191,63.36,66.5
192,63.47,66.7
193,63.57,67.2
194,63.64,67.6
195,63.69,67.9
196,63.72,68.4
197,63.74,68.7
198,63.76,69.3
199,63.77,69.7
200,63.78,70.4
201,63.8,70.9
202,63.82,71.9
203,63.85,72.5
204,63.89,72.7
205,63.94,72.5
206,63.99,72.5
207,64.04,72.6
208,64.1,72.7
209,64.15,72.9
210,64.19,73.1
211,64.22,73.3
212,64.24,73.6
213,64.27,74.0
214,64.28,74.3
215,64.29,74.4
216,64.31,75.2
217,64.32,75.9
218,64.33,76.5
219,64.34,76.6
