,angle,torque
0,34.52,12.6
1,34.54,13.0
2,34.55,13.4
3,34.56,13.6
4,34.61,14.8
5,34.63,15.1
6,34.64,15.4
7,34.66,16.0
8,34.68,16.3
9,34.7,16.8
10,34.72,17.3
11,34.74,17.6
12,34.76,18.1
13,34.77,18.5
14,34.79,18.9
15,34.8,19.2
16,34.82,19.7
17,34.83,20.0
18,34.85,20.3
19,34.86,20.7
20,34.88,20.9
21,34.9,21.4
22,34.92,21.9
23,34.94,22.5
24,34.96,22.9
25,34.98,23.3
26,34.99,23.8
27,35.01,24.1
28,35.03,24.7
29,35.04,24.9
30,35.05,25.3
31,35.07,25.6
32,35.08,26.1
33,35.1,26.4
34,35.11,26.8
35,35.13,27.2
36,35.15,27.7
37,35.16,28.0
38,35.18,28.4
39,35.2,28.8
40,35.22,29.4
41,35.23,29.8
42,35.25,30.2
43,35.26,30.5
44,35.27,30.9
45,35.28,31.1
46,35.29,31.3
47,35.3,31.6
48,35.31,31.9
49,35.33,32.2
50,35.35,32.7
51,35.36,32.9
52,35.37,33.2
53,35.38,33.6
54,35.39,33.8
55,35.4,34.2
56,35.42,34.5
57,35.43,35.0
58,35.45,35.3
59,35.46,35.7
60,35.47,35.9
61,35.49,36.2
62,35.5,36.5
63,35.51,36.8
64,35.52,37.0
65,35.53,37.2
66,35.54,37.5
67,35.55,37.6
68,35.56,37.8
69,35.58,37.8
70,35.6,37.5
71,35.64,37.2
72,35.69,37.1
73,35.74,37.0
74,35.82,37.0
75,35.87,37.1
76,35.93,37.2
77,35.98,37.4
78,36.03,37.5
79,36.08,37.6
80,36.1,37.6
81,36.11,37.5
82,36.12,37.3
83,36.13,37.2
84,36.14,37.4
85,36.15,37.8
86,36.16,38.2
87,36.17,38.5
88,36.19,38.7
89,36.2,38.9
90,36.21,39.0
91,36.22,39.1
92,36.25,39.4
93,36.27,39.7
94,36.3,40.0
95,36.34,40.1
96,36.38,40.1
97,36.41,40.2
98,36.46,40.4
99,36.5,40.5
100,36.55,40.7
101,36.6,40.9
102,36.66,41.1
103,36.69,41.1
104,36.72,41.3
105,36.74,41.4
106,36.77,41.7
107,36.79,41.8
108,36.81,42.1
109,36.84,42.3
110,36.86,42.5
111,36.89,42.8
112,36.91,42.9
113,36.94,43.2
114,36.97,43.4
115,37.01,43.6
116,37.05,43.7
117,37.09,43.9
118,37.13,44.0
119,37.15,44.1
120,37.18,44.3
121,37.22,44.4
122,37.26,44.7
123,37.28,44.7
124,37.3,44.8
125,37.32,44.9
126,37.35,45.2
127,37.37,45.4
128,37.4,45.7
129,37.43,45.9
130,37.45,46.0
131,37.47,46.2
132,37.5,46.3
133,37.52,46.4
134,37.54,46.5
135,37.56,46.7
136,37.58,46.8
137,37.61,47.0
138,37.63,47.1
139,37.64,47.2
140,37.66,47.3
141,37.68,47.4
142,37.7,47.6
143,37.71,47.7
144,37.72,47.8
145,37.74,47.9
146,37.75,48.0
147,37.76,48.1
148,37.78,48.3
149,37.79,48.4
150,37.8,48.5
151,37.81,48.5
152,37.83,48.5
153,37.84,48.7
154,37.85,48.9
155,37.86,49.1
156,37.87,49.2
157,37.88,49.3
158,37.91,49.6
159,37.92,49.7
160,37.93,49.7
161,37.94,49.7
162,37.95,49.9
163,37.97,50.1
164,37.98,50.2
165,38.0,50.2
166,38.01,50.1
167,38.02,50.0
