,angle,torque
0,10.35,10.8
1,10.36,11.0
2,10.37,11.1
3,10.38,11.3
4,10.39,11.5
5,10.4,11.9
6,10.41,12.2
7,10.42,12.4
8,10.44,12.8
9,10.46,13.3
10,10.47,13.5
11,10.48,13.9
12,10.49,14.1
13,10.5,14.6
14,10.51,14.9
15,10.53,15.4
16,10.54,15.6
17,10.55,15.8
18,10.56,16.0
19,10.57,16.2
20,10.58,16.6
21,10.59,17.0
22,10.6,17.2
23,10.61,17.4
24,10.62,17.7
25,10.63,17.2
26,10.64,18.1
27,10.65,19.1
28,10.66,19.3
29,10.67,19.6
30,10.68,20.8
31,10.69,22.1
32,10.7,22.9
33,10.71,23.5
34,10.72,23.8
35,10.73,24.6
36,10.74,25.2
37,10.75,25.8
38,10.76,26.2
39,10.77,26.9
40,10.78,27.6
41,10.79,28.3
42,10.8,28.9
43,10.81,30.9
44,10.82,31.3
45,10.83,31.7
46,10.84,33.6
47,10.85,34.1
48,10.86,34.4
49,10.87,34.7
50,10.88,35.3
51,10.89,36.0
52,10.9,36.6
53,10.91,37.1
54,10.92,37.5
55,10.93,38.3
56,10.94,39.3
57,10.95,41.0
58,10.96,41.8
59,10.97,42.0
60,10.98,42.9
61,10.99,43.2
62,11.0,44.6
63,11.01,45.4
64,11.02,45.7
65,11.03,46.3
66,11.04,47.8
67,11.05,49.1
68,11.06,50.4
69,11.07,51.7
70,11.08,52.7
71,11.09,53.5
72,11.1,53.9
73,11.11,53.4
74,11.12,52.3
75,11.15,51.1
76,11.2,50.5
77,11.23,50.3
78,11.28,50.3
79,11.32,50.4
80,11.33,50.4
81,11.34,49.9
82,11.35,50.2
83,11.36,52.7
84,11.37,53.6
85,11.38,54.2
86,11.39,54.8
87,11.4,54.8
88,11.41,56.0
89,11.42,56.4
90,11.43,57.0
91,11.44,57.5
92,11.45,57.9
93,11.46,59.2
94,11.47,59.9
95,11.48,60.7
96,11.49,61.3
97,11.51,56.9
98,11.66,51.7
99,11.93,50.7
100,12.08,51.4
101,12.26,52.3
102,12.39,53.0
103,12.45,53.9
104,12.46,55.8
105,12.48,56.9
106,12.5,57.6
107,12.52,58.5
108,12.54,58.9
109,12.55,59.0
110,12.59,59.2
111,12.62,59.3
112,12.66,59.5
113,12.7,59.5
114,12.73,59.6
115,12.76,59.9
116,12.78,60.2
117,12.79,60.5
118,12.8,60.5
119,12.82,60.4
120,12.83,61.3
121,12.84,61.7
122,12.85,62.3
123,12.87,62.7
124,12.88,63.3
125,12.89,63.6
126,12.9,63.9
127,12.91,64.0
128,12.92,64.7
129,12.94,65.2
130,12.95,65.3
131,12.96,65.7
132,12.97,66.0
133,12.98,66.3
134,12.99,66.9
135,13.0,67.2
136,13.01,67.4
137,13.02,68.0
138,13.03,68.8
139,13.04,69.5
140,13.05,69.9
141,13.06,70.2
142,13.12,64.0
143,13.19,61.7
144,13.34,61.9
145,13.47,61.9
146,13.55,62.1
147,13.6,62.5
148,13.61,62.4
149,13.62,62.0
150,13.63,62.9
151,13.64,64.4
152,13.65,65.7
153,13.66,66.4
154,13.67,67.4
155,13.68,67.8
156,13.69,68.4
157,13.7,68.7
158,13.71,68.9
