,angle,torque
0,14.44,15.6
1,14.46,16.3
2,14.5,17.1
3,14.53,17.8
4,14.56,18.9
5,14.6,19.6
6,14.63,20.7
7,14.66,21.4
8,14.68,22.3
9,14.71,22.9
10,14.73,23.8
11,14.75,24.5
12,14.79,25.6
13,14.81,26.4
14,14.83,27.2
15,14.85,28.2
16,14.87,28.8
17,14.89,29.3
18,14.91,29.9
19,14.93,30.7
20,14.94,31.4
21,14.96,32.0
22,14.97,32.7
23,14.99,33.3
24,15.0,33.6
25,15.01,33.9
26,15.02,34.3
27,15.04,34.7
28,15.05,35.3
29,15.07,35.7
30,15.08,36.1
31,15.09,36.5
32,15.1,36.9
33,15.12,37.4
34,15.13,37.8
35,15.14,38.2
36,15.15,38.4
37,15.16,38.3
38,15.17,38.9
39,15.18,39.3
40,15.19,39.4
41,15.2,40.1
42,15.21,40.5
43,15.22,40.8
44,15.23,41.2
45,15.24,41.4
46,15.25,41.7
47,15.26,42.2
48,15.27,42.4
49,15.29,42.6
50,15.3,42.9
51,15.32,43.5
52,15.34,44.0
53,15.37,44.8
54,15.4,45.7
55,15.41,46.2
56,15.43,46.7
57,15.45,47.3
58,15.46,47.7
59,15.48,48.2
60,15.5,48.8
61,15.51,49.2
62,15.52,49.6
63,15.54,50.2
64,15.55,50.6
65,15.57,51.1
66,15.58,51.6
67,15.59,52.1
68,15.61,52.7
69,15.63,53.2
70,15.65,53.9
71,15.66,54.5
72,15.69,55.4
73,15.71,56.0
74,15.72,56.6
75,15.74,57.2
76,15.76,57.8
77,15.77,58.2
78,15.79,58.6
79,15.8,59.1
80,15.81,59.7
81,15.83,60.1
82,15.84,60.8
83,15.85,61.1
84,15.87,61.6
85,15.88,61.8
86,15.89,62.2
87,15.9,62.6
88,15.97,61.2
89,16.05,59.3
90,16.16,59.3
91,16.25,59.5
92,16.38,59.7
93,16.5,60.1
94,16.6,60.4
95,16.69,60.8
96,16.75,61.0
97,16.79,61.2
98,16.82,61.4
99,16.85,61.8
100,16.87,62.1
101,16.9,62.4
102,16.95,63.4
103,16.98,63.9
104,17.03,64.3
105,17.08,64.6
106,17.14,64.7
107,17.21,65.0
108,17.25,65.2
109,17.31,65.4
110,17.36,65.6
111,17.41,65.9
112,17.45,66.0
113,17.48,66.2
114,17.51,66.5
115,17.54,66.7
116,17.56,66.9
117,17.58,67.1
118,17.6,67.3
119,17.61,67.6
120,17.63,67.9
121,17.65,68.2
122,17.67,68.6
123,17.69,68.9
124,17.71,69.0
125,17.73,69.2
126,17.74,69.4
127,17.76,69.7
128,17.78,69.9
129,17.8,69.9
130,17.81,69.6
131,17.82,69.6
132,17.83,69.8
133,17.84,70.0
