,angle,torque
0,16.33,13.2
1,16.35,13.1
2,16.36,13.8
3,16.37,14.5
4,16.38,14.8
5,16.4,15.0
6,16.41,15.4
7,16.44,16.3
8,16.47,16.9
9,16.49,17.7
10,16.5,18.2
11,16.51,18.4
12,16.52,19.2
13,16.53,19.6
14,16.54,19.8
15,16.55,20.4
16,16.56,20.9
17,16.57,21.0
18,16.58,21.3
19,16.59,21.7
20,16.6,22.2
21,16.61,22.4
22,16.62,22.8
23,16.63,23.3
24,16.64,23.5
25,16.65,23.8
26,16.66,23.8
27,16.73,24.3
28,16.75,26.0
29,16.76,25.7
30,16.77,25.8
31,16.78,26.2
32,16.79,26.7
33,16.8,27.0
34,16.81,27.7
35,16.82,27.4
36,16.84,28.7
37,16.85,29.2
38,16.86,29.5
39,16.87,29.8
40,16.88,30.2
41,16.89,30.5
42,16.9,31.1
43,16.91,31.5
44,16.92,31.9
45,16.93,32.3
46,16.94,32.6
47,16.95,32.8
48,16.96,33.2
49,16.97,33.4
50,16.98,33.7
51,16.99,34.1
52,17.0,34.2
53,17.01,34.6
54,17.02,35.1
55,17.03,35.6
56,17.04,36.0
57,17.05,36.3
58,17.06,36.7
59,17.09,37.5
60,17.11,37.7
61,17.13,37.1
62,17.19,36.0
63,17.25,36.0
64,17.32,36.1
65,17.4,36.3
66,17.45,36.5
67,17.5,36.9
68,17.55,37.3
69,17.58,37.5
70,17.59,37.1
71,17.6,37.4
72,17.61,38.1
73,17.64,38.7
74,17.66,39.3
75,17.7,39.4
76,17.74,39.5
77,17.78,39.6
78,17.83,39.7
79,17.88,39.9
80,17.94,40.2
81,17.97,40.3
82,18.04,40.7
83,18.12,41.3
84,18.14,41.5
85,18.17,41.7
86,18.2,42.0
87,18.22,42.3
88,18.24,42.6
89,18.26,42.9
90,18.27,43.1
91,18.29,43.2
92,18.3,43.5
93,18.32,43.7
94,18.34,43.9
95,18.36,44.1
96,18.38,44.2
97,18.39,44.4
98,18.41,44.5
99,18.42,44.7
100,18.43,44.8
101,18.45,44.9
102,18.46,45.0
103,18.47,45.1
104,18.48,45.2
105,18.49,45.3
106,18.5,45.5
107,18.51,45.6
108,18.52,45.8
109,18.53,46.3
110,18.54,46.8
111,18.56,46.8
112,18.57,46.8
113,18.59,46.7
114,18.62,46.6
115,18.64,46.4
116,18.68,46.2
117,18.71,46.0
118,18.76,45.8
119,18.8,45.8
120,18.84,45.9
121,18.87,46.0
122,18.9,46.1
123,18.92,46.2
124,18.94,46.4
125,18.96,46.6
126,18.97,46.8
127,18.98,47.0
128,18.99,47.4
129,19.01,47.8
130,19.03,48.0
131,19.05,48.2
132,19.08,48.1
133,19.1,47.7
134,19.14,46.8
135,19.2,46.3
136,19.28,46.0
137,19.33,45.8
138,19.4,45.8
139,19.45,45.9
140,19.5,46.1
141,19.55,46.4
142,19.58,46.6
143,19.6,46.9
144,19.61,47.1
145,19.62,47.5
146,19.63,47.8
147,19.64,48.3
148,19.65,48.7
149,19.67,49.1
150,19.68,49.4
151,19.69,49.6
152,19.7,49.8
153,19.72,50.0
154,19.73,50.2
155,19.74,50.3
156,19.76,50.4
157,19.77,50.5
158,19.78,50.5
159,19.79,50.6
160,19.8,50.7
161,19.81,50.8
162,19.82,50.7
163,19.83,52.0
164,19.84,52.5
165,19.85,53.2
166,19.86,53.4
167,19.87,53.7
168,19.88,54.1
169,19.89,54.5
170,19.9,54.6
171,19.91,54.9
172,19.92,55.1
173,19.93,55.0
174,19.98,51.3
175,20.03,49.7
176,20.15,49.5
177,20.23,49.5
178,20.34,49.5
179,20.44,49.7
180,20.52,50.0
181,20.57,50.3
182,20.59,50.3
