,angle,torque
0,0.12,14.8
1,0.14,15.7
2,0.19,17.0
3,0.23,18.0
4,0.28,19.4
5,0.33,20.5
6,0.37,22.0
7,0.53,26.5
8,0.55,27.0
9,0.57,27.7
10,0.59,28.4
11,0.62,29.2
12,0.64,29.9
13,0.66,30.3
14,0.68,30.9
15,0.7,31.5
16,0.73,32.5
17,0.76,33.6
18,0.79,34.5
19,0.82,35.5
20,0.84,36.2
21,0.86,36.7
22,0.88,37.3
23,0.9,37.7
24,0.92,38.0
25,0.94,38.7
26,0.96,39.5
27,0.98,40.4
28,1.0,41.0
29,1.02,42.0
30,1.04,42.8
31,1.06,43.6
32,1.08,44.5
33,1.1,45.4
34,1.12,45.9
35,1.15,47.1
36,1.17,47.8
37,1.19,48.5
38,1.21,48.8
39,1.23,50.3
40,1.25,51.2
41,1.27,51.7
42,1.29,53.4
43,1.31,54.2
44,1.33,55.7
45,1.35,57.1
46,1.37,58.1
47,1.39,59.6
48,1.41,60.7
49,1.43,61.7
50,1.45,62.8
51,1.47,65.3
52,1.49,69.0
53,1.51,71.5
54,1.53,72.4
55,1.55,73.4
56,1.57,75.0
57,1.59,78.4
58,1.61,79.7
59,1.63,81.2
60,1.7,73.8
61,1.82,69.9
62,1.99,71.2
63,2.16,71.9
64,2.32,72.9
65,2.46,74.2
66,2.57,75.0
67,2.62,76.2
68,2.65,76.7
69,2.67,77.2
70,2.69,77.8
71,2.73,79.7
72,2.78,80.9
73,2.85,80.9
74,2.94,80.6
75,3.04,80.8
76,3.14,81.2
77,3.23,81.8
78,3.32,82.9
79,3.35,83.2
80,3.41,84.0
81,3.45,84.8
82,3.48,85.7
83,3.5,86.2
84,3.52,86.8
85,3.54,87.4
86,3.57,88.3
87,3.58,88.7
88,3.62,89.9
