,angle,torque
0,56.2,9.3
1,56.21,9.5
2,56.23,9.7
3,56.26,10.2
4,56.28,10.6
5,56.31,11.2
6,56.32,11.5
7,56.34,12.3
8,56.35,12.6
9,56.36,12.8
10,56.37,13.1
11,56.39,13.4
12,56.41,13.9
13,56.43,14.3
14,56.44,14.9
15,56.46,15.2
16,56.47,15.7
17,56.48,16.0
18,56.49,16.3
19,56.5,16.5
20,56.51,16.7
21,56.52,16.9
22,56.53,17.2
23,56.54,17.6
24,56.56,17.9
25,56.57,18.3
26,56.58,18.6
27,56.59,18.9
28,56.6,19.3
29,56.61,19.7
30,56.62,20.0
31,56.63,20.4
32,56.64,20.6
33,56.65,21.0
34,56.66,21.3
35,56.67,21.6
36,56.68,21.9
37,56.69,22.1
38,56.7,22.6
39,56.71,22.9
40,56.72,23.2
41,56.73,23.4
42,56.74,23.6
43,56.75,24.0
44,56.76,24.3
45,56.77,24.8
46,56.78,24.9
47,56.79,25.1
48,56.81,25.8
49,56.82,26.0
50,56.83,26.5
51,56.84,26.8
52,56.85,27.0
53,56.87,27.5
54,56.88,27.9
55,56.89,28.7
56,56.9,28.9
57,56.91,29.2
58,56.92,29.2
59,56.93,28.9
60,56.94,28.7
61,56.96,28.4
62,56.98,28.2
63,57.02,28.1
64,57.05,28.0
65,57.09,28.0
66,57.14,28.1
67,57.17,28.1
68,57.2,28.2
69,57.23,28.3
70,57.24,28.4
71,57.25,28.2
72,57.26,28.8
73,57.27,29.1
74,57.28,29.4
75,57.29,29.4
76,57.31,29.5
77,57.32,29.5
78,57.33,29.6
79,57.36,29.7
80,57.37,29.8
81,57.39,29.9
82,57.4,30.0
83,57.41,30.0
84,57.42,30.1
85,57.43,30.2
86,57.44,30.3
87,57.45,30.4
88,57.46,30.6
89,57.47,30.6
90,57.48,30.8
91,57.49,31.0
92,57.5,31.1
93,57.53,31.2
94,57.55,31.2
95,57.58,31.2
96,57.62,31.2
97,57.65,31.3
98,57.68,31.3
99,57.72,31.5
100,57.75,31.6
101,57.78,31.7
102,57.81,31.9
103,57.83,32.0
104,57.84,32.1
105,57.86,32.2
106,57.87,32.3
107,57.88,32.5
108,57.89,32.6
109,57.9,32.7
110,57.91,32.9
111,57.93,33.2
112,57.95,33.3
113,57.98,33.5
114,58.01,33.5
115,58.05,33.6
116,58.1,33.6
117,58.16,33.7
118,58.22,33.9
119,58.28,34.1
120,58.35,34.4
121,58.41,34.7
122,58.47,35.0
123,58.53,35.3
124,58.57,35.5
125,58.62,35.8
126,58.67,35.3
127,58.75,34.1
128,58.82,33.2
129,58.92,33.2
130,59.05,33.3
131,59.17,33.6
132,59.31,33.9
133,59.43,34.3
134,59.51,34.7
135,59.64,35.4
136,59.71,35.7
137,59.78,36.2
138,59.83,36.7
139,59.87,37.0
140,59.9,37.4
141,59.93,37.7
142,59.95,38.1
143,59.98,38.4
144,60.0,38.8
145,60.03,39.1
146,60.05,39.4
147,60.09,39.7
148,60.12,39.9
149,60.16,40.1
150,60.2,40.2
151,60.25,40.4
152,60.32,40.6
153,60.37,40.8
154,60.42,41.0
155,60.46,41.2
156,60.5,41.4
157,60.53,41.6
158,60.56,41.9
159,60.58,42.1
160,60.59,42.2
161,60.6,42.4
162,60.61,42.6
163,60.62,42.8
164,60.64,43.1
165,60.66,43.6
166,60.67,44.0
167,60.69,44.1
168,60.7,44.3
169,60.71,44.4
170,60.73,44.5
