,angle,torque
0,0.01,11.4
1,0.03,11.4
2,0.05,11.5
3,0.07,11.7
4,0.09,12.2
5,0.11,12.7
6,0.13,13.3
7,0.15,13.8
8,0.17,14.1
9,0.19,14.2
10,0.21,14.3
11,0.23,14.3
12,0.25,14.1
13,0.27,13.8
14,0.29,13.3
15,0.31,13.1
16,0.33,13.1
17,0.35,13.1
18,0.37,13.0
19,0.39,12.7
20,0.41,12.6
21,0.43,12.4
22,0.45,12.4
23,0.47,12.2
24,0.49,11.9
25,0.51,11.8
26,0.53,11.8
27,0.55,12.1
28,0.57,12.5
29,0.59,12.9
30,0.61,13.1
31,0.63,13.2
32,0.65,13.3
33,0.67,13.4
34,0.69,13.8
35,0.71,14.2
36,0.73,14.5
37,0.75,15.0
38,0.77,15.3
39,0.79,15.8
40,0.81,16.1
41,0.83,16.4
42,0.85,16.7
43,0.87,16.8
44,0.89,17.0
45,0.91,17.2
46,0.93,17.4
47,0.95,17.6
48,0.97,17.8
49,0.99,17.9
50,1.01,18.1
51,1.03,18.2
52,1.05,18.5
53,1.07,18.9
54,1.09,19.2
55,1.11,19.6
56,1.13,19.8
57,1.15,19.9
58,1.17,19.9
59,1.19,20.0
60,1.21,20.1
61,1.23,20.4
62,1.25,20.5
63,1.27,20.6
64,1.29,20.6
65,1.31,20.8
66,1.33,20.9
67,1.35,21.1
68,1.37,21.3
69,1.39,21.5
70,1.41,21.5
71,1.43,21.5
72,1.45,21.5
73,1.47,21.7
74,1.49,21.9
75,1.51,22.1
76,1.53,22.2
77,1.55,22.1
78,1.57,22.1
79,1.59,22.1
80,1.61,22.3
81,1.63,22.6
82,1.65,22.9
83,1.67,23.0
84,1.69,23.2
85,1.71,23.3
86,1.73,23.5
87,1.75,23.7
88,1.77,23.9
89,1.79,24.2
90,1.81,24.3
91,1.83,24.4
92,1.85,24.5
93,1.87,24.6
94,1.89,24.8
95,1.91,24.9
96,1.93,25.0
97,1.95,25.0
98,1.97,25.2
99,1.99,25.3
100,2.01,25.5
101,2.03,25.6
102,2.05,25.6
103,2.07,25.7
104,2.09,25.7
105,2.11,25.8
106,2.13,25.8
107,2.15,25.9
108,2.17,25.8
109,2.19,25.8
110,2.21,25.8
111,2.23,25.8
112,2.25,25.9
113,2.27,26.0
114,2.29,26.1
115,2.31,26.1
116,2.33,26.0
117,2.35,26.0
118,2.37,26.0
119,2.39,26.2
120,2.41,26.3
121,2.43,26.4
122,2.45,26.4
123,2.47,26.5
124,2.49,26.7
125,2.51,26.8
126,2.53,26.9
127,2.55,26.9
128,2.57,27.0
129,2.59,27.1
130,2.61,27.1
131,2.63,27.2
132,2.65,27.3
133,2.67,27.4
134,2.69,27.6
135,2.71,27.7
136,2.73,27.8
137,2.75,27.9
138,2.77,27.9
