,angle,torque
0,27.84,12.1
1,27.88,12.8
2,27.91,13.4
3,27.94,14.1
4,27.96,14.5
5,27.98,14.8
6,27.99,15.0
7,28.0,15.2
8,28.02,15.6
9,28.04,16.0
10,28.06,16.7
11,28.09,17.3
12,28.13,18.2
13,28.17,19.0
14,28.2,19.9
15,28.23,20.6
16,28.25,21.1
17,28.27,21.8
18,28.3,22.7
19,28.33,23.3
20,28.35,24.3
21,28.38,24.9
22,28.4,25.6
23,28.41,26.0
24,28.43,26.6
25,28.45,27.0
26,28.46,27.5
27,28.48,28.0
28,28.5,28.5
29,28.51,28.9
30,28.52,29.1
31,28.54,29.6
32,28.55,29.9
33,28.57,30.5
34,28.59,31.0
35,28.61,31.4
36,28.63,31.9
37,28.65,32.3
38,28.66,32.7
39,28.67,33.2
40,28.69,33.5
41,28.7,33.7
42,28.71,33.9
43,28.72,34.1
44,28.73,34.4
45,28.74,34.6
46,28.75,34.7
47,28.76,34.9
48,28.78,34.9
49,28.8,34.8
50,28.82,34.7
51,28.85,34.5
52,28.89,34.5
53,28.91,34.5
54,28.95,34.5
55,28.98,34.5
56,29.0,34.6
57,29.02,34.7
58,29.04,34.7
59,29.05,34.2
60,29.06,34.9
61,29.07,35.2
62,29.08,35.5
63,29.09,35.6
64,29.1,35.8
65,29.11,35.9
66,29.13,36.0
67,29.14,36.0
68,29.15,36.1
69,29.17,36.3
70,29.19,36.4
71,29.2,36.5
72,29.21,36.5
73,29.22,36.4
74,29.23,36.5
75,29.25,36.6
76,29.26,36.7
77,29.27,36.8
78,29.28,36.8
79,29.29,36.8
80,29.3,36.8
81,29.31,37.0
82,29.32,37.0
83,29.33,37.2
84,29.34,37.2
85,29.35,37.3
86,29.36,37.4
87,29.37,37.5
88,29.39,37.6
89,29.4,37.6
90,29.41,37.7
91,29.42,37.9
92,29.43,38.0
93,29.44,38.0
94,29.45,38.0
95,29.46,38.0
96,29.48,38.1
97,29.49,38.2
98,29.5,38.4
99,29.52,38.4
100,29.53,38.4
101,29.54,38.3
102,29.55,38.4
103,29.56,38.6
104,29.57,38.6
105,29.58,38.7
106,29.59,38.6
107,29.6,38.7
108,29.61,38.7
109,29.62,38.7
110,29.63,39.2
111,29.64,39.5
112,29.65,39.8
113,29.66,39.9
114,29.67,40.0
115,29.68,40.0
116,29.69,39.6
117,29.7,39.7
118,29.71,40.7
119,29.72,41.2
120,29.73,41.4
121,29.74,41.7
122,29.75,41.7
123,29.76,41.4
124,29.79,41.1
125,29.83,40.9
126,29.87,40.8
127,29.92,40.7
128,29.96,40.6
129,30.01,40.6
130,30.06,40.7
131,30.11,40.8
132,30.14,40.9
133,30.17,41.0
134,30.19,41.0
135,30.21,41.1
136,30.22,41.2
137,30.24,41.4
138,30.26,41.6
139,30.27,41.9
140,30.29,42.1
141,30.32,42.4
142,30.36,42.6
143,30.37,42.7
144,30.4,42.9
145,30.43,43.0
146,30.46,43.1
147,30.49,43.2
148,30.53,43.4
149,30.55,43.5
150,30.58,43.6
151,30.6,43.7
152,30.64,44.0
153,30.65,44.1
154,30.69,44.3
155,30.71,44.4
156,30.73,44.5
157,30.75,44.6
158,30.78,44.7
159,30.8,44.9
160,30.82,45.1
161,30.84,45.2
162,30.85,45.3
163,30.87,45.3
164,30.89,45.4
165,30.9,45.5
166,30.92,45.7
167,30.93,45.8
168,30.94,45.8
169,30.95,45.8
170,30.96,45.9
171,30.97,45.9
172,30.98,46.0
173,30.99,46.1
174,31.0,46.1
175,31.01,46.3
176,31.02,46.6
177,31.03,46.6
178,31.04,46.9
179,31.05,47.2
180,31.06,47.4
181,31.07,47.7
182,31.08,47.7
183,31.09,48.1
184,31.1,48.3
